id,status,key,title,year,venue_type,venue,pages,doi,publication_type,study_type,qualis,relevance_to_slr,php_focus,languages_analyzed,detection_tools_used,tools_cited,n_code_smell_records,rqs_contributed_to
S11,included,abidi_2019,Code Smells for Multi-language Systems,2019,Conference,Proceedings of the 24th European Conference on Pattern Languages of Programs (EuroPLop '19),13 p.,10.1145/3361149.3361161,Pattern conference paper (EuroPLoP 2019),Survey and case study,B2,3 - Moderately relevant,No,Java; C/C++ (JNI),"— (catalog, no detection)",,12,
S12,included,mello_2019,Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,2019,Conference,2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),1-6,10.1109/ESEM.2019.8870141,"Conference paper (ESEM 2019, 6 pp.; track not stated in the PDF)",Survey and case study,A2,3 - Moderately relevant,No,not applicable,— (questionnaire with developers),,5,RQ4
S13,included,bessghaier_diffusion_2020,On the Diffusion and Impact of Code Smells in Web Applications,2020,Conference,Services Computing – SCC 2020,67-84,10.1007/978-3-030-59592-0_5,"Full paper in conference proceedings (SCC 2020, LNCS 12409)",Case study and experiment,A2,5 - Very relevant,Yes,PHP,PHPMD,PHPMD (PHP Mess Detector),12,RQ1; RQ3
S14,included,catolino_2020,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,2020,Conference,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),779-780,10.1109/ICSME46990.2020.00088,"Late-breaking idea paper (ICSME 2020, 2 pp.); kept: it is neither an abstract nor a poster (decision of 2026-09-24)",Case study,A2,3 - Moderately relevant,No,not specified,"— (proposal, no data)",,3,
S15,included,bessghaier_longitudinal_2021,A longitudinal exploratory study on code smells in server side web applications,2021,Journal,Software Quality Journal,901-941,10.1007/s11219-021-09567-w,Full journal article (Software Quality Journal),Case study,A3,5 - Very relevant,Yes,PHP,PHPMD,PHPMD (PHP Mess Detector); PyDriller; SZZ Algorithm; Apriori Algorithm,12,RQ1; RQ2; RQ3
S16,included,tarwani_ao_2021,Application of AO* Algorithm in Recognizing the Optimum Refactoring sequence for examining the effect on Maintainability: An Empirical Study,2021,Conference,"2021 11th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",188-195,10.1109/Confluence51648.2021.9377109,Full conference paper (Confluence 2021),Case study,A2,2 - Slightly relevant,No,Java,— (tool used to identify the smells not stated),Jdeodorant,4,RQ4
S17,included,zhao_2021,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,2021,Conference,"2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",177-188,10.1109/SANER50967.2021.00025,Full conference paper (SANER 2021),Case study,A1,2 - Slightly relevant,No,LabVIEW,— (survey),,7,
S18,included,rubert_farias_2022,On the effects of continuous delivery on code quality: A case study in industry,2022,Journal,Computer Standards & Interfaces,103588,10.1016/j.csi.2021.103588,Full journal article (Computer Standards & Interfaces),Case study,A1,5 - Very relevant,Yes,PHP,SonarQube,SonarQube,2,RQ1; RQ3; RQ4
S19,included,tarwani_deep_2022,Application of Deep Learning models for Code Smell Prediction,2022,Conference,"2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",1-5,10.1109/ICRITO56286.2022.9965048,"Conference paper (ICRITO 2022, 5 pp.)",Experiment and modeling,?,3 - Moderately relevant,No,Java,— (smell labeling tool not reported),,11,
S20,included,rio_abreu_2023,"PHP code smells in web apps: Evolution, survival and anomalies",2023,Journal,Journal of Systems and Software,111644,10.1016/j.jss.2023.111644,Full journal article (Journal of Systems and Software),Experiment and modeling,?,5 - Very relevant,Yes,PHP,PHPMD,PHPMD (PHP Mess Detector),18,RQ1; RQ3
S21,included,saranya_2023,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,2023,Conference,2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),1-8,10.1109/ICCCNT56998.2023.10306683,Full conference paper (ICCCNT 2023),Experiment,?,3 - Moderately relevant,No,Java,WCSO (algorithm proposed by the authors),PMD and CheckStyle,18,
S22,included,zivotin_2023,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,2023,Conference,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),1-4,10.1109/ETFA54631.2023.10275499,"Short proposal conference paper (ETFA 2023, 4 pp.; track not stated in the PDF)",Modeling and survey,A2,2 - Slightly relevant,No,IEC 61499,— (proposal paper),JCodeOdor,4,
S23,included,rio_causal_2024,Causal inference of server- and client-side code smells in web apps evolution,2024,Journal,Empirical Software Engineering,133,10.1007/s10664-024-10478-0,Full journal article (Empirical Software Engineering),Case study,?,5 - Very relevant,Yes,PHP; HTML; CSS; JavaScript,PHPMD; ESLint; eextractor (by the authors),PHPMD (PHP Mess Detector); ESLint; eextractor,30,RQ1; RQ2; RQ3
—,"excluded (EC5: poster/demo, VL/HCC Poster and Demos; decision of 2026-09-24)",raab_2012,Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,2012,Conference,2012 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),261-262,,"Poster/demo (VL/HCC 2012, Poster and Demos track, 2 pp.): excluded by EC5 (decision of 2026-09-24)",Case study and experiment,A3,2 - Slightly relevant,No,not applicable,"— (educational tool, no automatic detection)",CodeSmellExplorer,4,
