row_in_original_spreadsheet,study_id,key,name_in_study,description,marked_as_php_in_extraction,synonym_group,category,in_catalog,catalog_number,catalog_name,specificity,decision,notes
88,S23,rio_causal_2024,Max-lines,Number of lines per file exceeded (above 300).,No,Max-lines (arquivo JavaScript longo),Size,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
89,S23,rio_causal_2024,Max-lines-per-function,Number of lines in a function exceeded (above 20).,No,Excessive Method Length,Size,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
90,S23,rio_causal_2024,Max-params,Number of parameters in a function exceeded (more than 3).,No,Excessive Parameter List,Size,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
91,S23,rio_causal_2024,Complexity,Cyclomatic complexity exceeded (more than 10).,No,Cyclomatic Complexity,Complexity,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
92,S23,rio_causal_2024,Max-depth,Nesting depth exceeded (more than 4 levels).,No,Aninhamento excessivo,Complexity,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
93,S23,rio_causal_2024,Max-nested-callbacks,Too many nested callbacks (above 3),No,Too many nested callbacks,Complexity,No,,,,outside the catalog: standalone JavaScript rule (ESLint),
94,S21,saranya_2023,Long Method,"A long and complex method that hinders understanding, modifying and testing the code. It can increase the risk of introducing errors, since it is hard to identify the source of problems.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
95,S21,saranya_2023,Large Class,"A class with many responsibilities and methods, which hinders understanding, modifying and testing the code. Large classes increase the chance of errors and make it harder to identify the problem.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
96,S21,saranya_2023,Data Clumps,"A group of variables frequently used together. This hinders maintenance and understanding of the code, besides increasing complexity and the risk of errors.",No,Data Clumps,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
97,S21,saranya_2023,God Object,"An object that has many responsibilities and methods, violating the encapsulation principle by exposing too much of its internal state and behavior. It hinders maintenance and testability.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
98,S21,saranya_2023,Divergent Change,"Occurs when a class undergoes several changes for different reasons, violating the single responsibility principle, which hinders maintenance.",No,Divergent Change,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
99,S21,saranya_2023,Message Chains,"A chain of method calls on different objects, which exposes too much of the internal structure of the code and hinders its understanding and maintenance. It increases the risk of errors.",No,Message Chains,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
100,S21,saranya_2023,Shotgun Surgery,"Occurs when a change at one point of the code requires several changes in different classes or methods, which hinders modification and testability.",No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
101,S21,saranya_2023,Duplicated Code,"Identical or similar code blocks in different parts of the codebase. It makes the code harder to modify and test, since a change in one place may not be reflected in the other duplicated parts.",No,Duplicate Code,Duplication,No,,,,outside the catalog: not a PHP study,
102,S21,saranya_2023,Lazy Class,"A class with little or no purpose, which increases the complexity of the code without adding real functionality, hindering maintenance.",No,Lazy Class,Unused code,No,,,,outside the catalog: not a PHP study,
103,S21,saranya_2023,Feature Envy,"A method that uses more functionality of another class than of its own class, violating the encapsulation principle and increasing the dependency between classes.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
104,S21,saranya_2023,Inappropriate Intimacy,"Occurs when two classes have a very close relationship, excessively using each other's methods and data, which compromises encapsulation and hinders maintenance.",No,Inappropriate Intimacy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
105,S21,saranya_2023,Blob (Large Class),"A code smell that occurs when a class or method is very large and complex, making the code hard to understand, maintain and test.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
106,S21,saranya_2023,Spaghetti Code,"Disorganized code, without a clear structure, which makes it hard to follow and maintain. Often the result of a lack of abstraction and planning.",No,Spaghetti Code,Complexity,No,,,,outside the catalog: not a PHP study,
107,S21,saranya_2023,Functional Decomposition,"An approach in which the code is organized functionally, which can result in a rigid structure that is hard to modify.",No,Functional Decomposition,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
108,S21,saranya_2023,Dead Code,"Code that is no longer used or executed, hindering maintenance and reducing performance. ""Dead code"" is usually the result of refactoring or removing features without cleaning up the code.",No,Dead Code / unnecessary code,Unused code,No,,,,outside the catalog: not a PHP study,
109,S21,saranya_2023,Temporary Fields,"Fields that are used only temporarily within a class and then discarded. This increases complexity and the risk of errors, besides hindering maintenance.",No,Temporary Field,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
110,S21,saranya_2023,Long Parameter List,"When a method or function has many parameters, making the code harder to understand, modify and test.",No,Excessive Parameter List,Size,No,,,,outside the catalog: not a PHP study,
111,S21,saranya_2023,Parallel Decomposition,"When inheritance and methods are organized in a way that creates unnecessary dependencies, resulting in code that is harder to maintain.",No,Parallel Decomposition,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
112,excluded,raab_2012,Duplicated Code,"A code smell that occurs when code blocks are repeated in different parts of the program, making the code harder to maintain. The study mentions that most students could not recognize this smell.",No,Duplicate Code,Duplication,No,,,,"outside the catalog: study excluded from the selection (EC5, poster) on 2026-09-24",
113,excluded,raab_2012,Comments,"This code smell occurs when there are excessive or unnecessary comments in the code, which may indicate that the code is not clear enough by itself. Only a few students were able to identify this smell in the experiment mentioned in the paper.",No,Comments (excessive comments),Documentation,No,,,,"outside the catalog: study excluded from the selection (EC5, poster) on 2026-09-24",
114,excluded,raab_2012,Data Clumps,"Refers to groups of variables that frequently appear together. If variables are usually passed together to several functions or classes, this may be a sign that they should be encapsulated in a class or structure.",No,Data Clumps,Responsibilities and design,No,,,,"outside the catalog: study excluded from the selection (EC5, poster) on 2026-09-24",
115,excluded,raab_2012,Primitive Obsession,This code smell arises when primitive types are used excessively instead of high-level objects. This can result in less expressive code that is harder to maintain.,No,Primitive Obsession,Responsibilities and design,No,,,,"outside the catalog: study excluded from the selection (EC5, poster) on 2026-09-24",
116,S03,yamashita_counsell_2013,Data Class,"Classes that contain only fields and getter and setter methods, without implementing specific functionality.",No,Data Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
117,S03,yamashita_counsell_2013,Data Clumps,"Sets of data that are frequently found together, either within classes or across classes.",No,Data Clumps,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
118,S03,yamashita_counsell_2013,Duplicated Code in Conditional Branches,Code with identical or similar structure repeated in the branches of a conditional statement.,No,Duplicated Code in Conditional Branches,Duplication,No,,,,outside the catalog: not a PHP study,
119,S03,yamashita_counsell_2013,Feature Envy,"A method that seems more interested in another class than in the class where it is, suggesting that it should perhaps be moved to the class that owns the data it uses.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
120,S03,yamashita_counsell_2013,God (Large) Class,"A class that takes on many responsibilities relative to the other classes, centralizing functionality in a single class, which goes against the principles of design decomposition.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
121,S03,yamashita_counsell_2013,God (Long) Method,"A very long method that centralizes the functionality of a class in a single method, hindering readability and maintenance.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
122,S03,yamashita_counsell_2013,Misplaced Class,"In ""main packages"" (God Packages), a class that depends more on classes from other packages than on its own package.",No,Misplaced Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
123,S03,yamashita_counsell_2013,Refused Bequest,Subclasses that do not want or need everything they inherit from the parent class.,No,Refused Bequest,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
124,S03,yamashita_counsell_2013,Shotgun Surgery,A change in one class that results in the need to make several small changes in several other classes.,No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
125,S03,yamashita_counsell_2013,Temporary Variable Used for Several Purposes,"Temporary variables used for different purposes, which can cause confusion and introduce faults.",No,Temporary Variable Used for Several Purposes,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
126,S03,yamashita_counsell_2013,Use Interface Instead of Implementation,"Avoid using concrete implementations, preferring interfaces to reduce coupling.",No,Use Interface Instead of Implementation,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
127,S03,yamashita_counsell_2013,Interface Segregation Principle Violation,"A class that depends on another should depend on the smallest possible interface, avoiding forcing unnecessary dependencies on methods it does not use, which increases coupling",No,Interface Segregation Principle Violation,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
128,S11,abidi_2019,Passing Excessive Objects,"Passing whole objects between languages instead of only the necessary parameters can reduce performance. In multi-language systems, the cost of transferring whole objects can be high, especially if it involves several calls to access each field of an object. Refactoring: pass only the necessary parameters instead of the whole object.",No,Passing Excessive Objects,Multi-language,No,,,,outside the catalog: not a PHP study,
129,S11,abidi_2019,Unnecessary Parameters,"Includes unnecessary parameters in calls between languages. This adds complexity and hinders code maintenance, especially when the parameters are not used in the other language. Refactoring: remove the unused parameters to simplify the interface and improve readability.",No,Unnecessary Parameters,Multi-language,No,,,,outside the catalog: not a PHP study,
