#,Fixamento,Artigo,Comentário
11,Code Smells em Java,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,"O artigo explora code smells como Long Method, Feature Envy, Large Class, e Divergent Change, que são indicadores comuns de problemas de design de software. Estes quadro code smells também podemos ver em códigos desenvolvidod com PHP."
12,Algoritmo AO,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,"O artigo apresenta a aplicação do algoritmo AO* como uma abordagem para otimizar a sequência de refatoração, o que melhora a manutenibilidade do código. Esse é um diferencial relevante, pois poucos estudos aplicam algoritmos de busca heurística para esse fim."
13,Deep Learning para Previsão de Code Smells,Application of Deep Learning models for Code Smell Prediction,"O artigo demonstra como técnicas de aprendizado profundo (Deep Learning) podem ser eficazes na previsão de code smells, superando métodos manuais ou tradicionais de detecção. Modelos como CNN, LSTM, e MLP foram testados, com a CNN apresentando uma acurácia de 99%."
14,Seleção de Características com Information Gain,Application of Deep Learning models for Code Smell Prediction,"A técnica de Information Gain foi usada para identificar as métricas de software mais relevantes, o que ajuda a melhorar o desempenho dos modelos de previsão, reduzindo a complexidade e o custo computacional."
15,Possível Expansão para Outras Linguagens,Application of Deep Learning models for Code Smell Prediction,"O artigo menciona a intenção de expandir o estudo para outras linguagens de programação, como C++, C# e Python, sugerindo que a abordagem pode ser adaptada para diferentes ambientes e contextos de desenvolvimento. Quem sabe o PHP?!?"
16,Comentário geral,Applying Software Metric Thresholds for Detection of Bad Smells,"O objetivo principal do estudo é investigar a eficácia de métricas de software com valores de referência para detectar bad smells em sistemas orientados a objetos. O artigo utiliza um catálogo de 18 métricas derivadas de 100 sistemas de software e aplica essas métricas na identificação de cinco bad smells específicos (Large Class, Long Method, Data Class, Feature Envy, e Refused Bequest)."
17,Code Smells em Java com possibilidade no PHP,A Textual-based Technique for Smell Detection,"Neste artigo, apesar de citar a liguagem de programação Java, ele falou de alguns code smells importantes, um deles foi o duplicade code, que podemos encontrar em outras linguagens de programação, incluindo o PHP."
18,Objetivo da Pesquisa,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,"O artigo foca na avaliação empírica de ""bad smells"" em sistemas desenvolvidos com LabVIEW, visando entender como esses problemas afetam a qualidade dos sistemas e como são percebidos pelos desenvolvedores."
19,Primeira Pergunta de Pesquisa (RQ1),A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,"Investiga até que ponto os engenheiros de sistemas concordam com os ""smells"" de modelos descritos na literatura existente sobre LabVIEW."
20,Experiência dos Desenvolvedores,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,"O artigo explora como a experiência no uso de LabVIEW e o conhecimento do domínio influenciam a percepção dos ""smells"" nos sistemas, considerando que a experiência pode alterar o julgamento sobre a qualidade de design."
21,Code Smells Identificados,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,"São discutidos vários ""code smells"", como Excessive Block Diagram Size, Wire Clutter, Inconsistent Use of SubVIs, e Magic Numbers, os quais impactam negativamente a manutenção e evolução de sistemas desenvolvidos em LabVIEW​"
22,Introdução ao Problema dos Code Smells,A Textual-based Technique for Smell Detection,"A introdução do artigo destaca a importância de detectar code smells para evitar a degradação da qualidade do código-fonte, especialmente em cenários de mudanças contínuas e prazos apertados. Ela explica que code smells são sintomas de design ou implementação ruim, e que técnicas automatizadas para detectá-los são cruciais para melhorar a manutenibilidade do software"
23,A Técnica TACO (Textual Analysis for Code Smell detectiOn),A Textual-based Technique for Smell Detection,"O artigo apresenta o TACO, uma técnica inovadora que utiliza análise textual (Information Retrieval - IR) para detectar code smells. O TACO é capaz de identificar cinco tipos de code smells: Long Method, Feature Envy, Blob, Promiscuous Package e Misplaced Class, usando a coerência textual de termos presentes no código (comentários e identificadores)​"
24,Comparação entre TACO e Abordagens Estruturais,A Textual-based Technique for Smell Detection,"O estudo compara o desempenho do TACO com detectores estruturais de smells, como DECOR e JDeodorant, demonstrando que, na maioria dos casos, o TACO supera essas ferramentas em termos de precisão e recall. Essa parte é importante pois valida a eficácia do TACO em relação às abordagens tradicionais​"
25,Resultados do Estudo Empírico,A Textual-based Technique for Smell Detection,"O artigo apresenta um estudo empírico realizado em dez projetos de software de código aberto, com resultados que mostram que o TACO atinge uma precisão entre 67% e 77% e um recall entre 72% e 84%. Além disso, ele sugere que uma combinação de informações textuais e estruturais poderia melhorar ainda mais a detecção de code smells"
26,Introdução ao Shotgun Surgery no Contexto IEC 61499,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,"O artigo explica como o ""bad smell"" Shotgun Surgery afeta o software industrial baseado na norma IEC 61499. Ele descreve o impacto negativo que esse cheiro de código tem na qualidade e na manutenção do software, e justifica a importância de métodos para detectá-lo"
27,Cenários que Levam ao Shotgun Surgery,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,"A seção que identifica diferentes cenários que podem resultar no cheiro de código Shotgun Surgery, como código duplicado, números mágicos e mudanças em adaptadores, structs e interfaces, é essencial. Isso fornece uma base para entender onde e como esse problema ocorre no software"
28,Técnicas de Detecção de Shotgun Surgery,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,"O artigo detalha diversas técnicas para identificar o cheiro Shotgun Surgery, como a detecção de clones de código, técnicas baseadas em IA, e a análise de históricos de mudanças. Essas técnicas são centrais para resolver o problema abordado"
29,Propostas de Ferramentas e Abordagens Futuras,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,O artigo discute a implementação de ferramentas para detectar o Shotgun Surgery e sugere futuras abordagens para melhorar a qualidade do software industrial. A visualização de mudanças no código e a detecção automática de clones são algumas das propostas mencionadas
30,Objetivo e Contexto do Estudo,Causal inference of server- and client-side code smells in web apps evolution,"O artigo investiga a evolução de code smells no lado do servidor e do cliente em aplicações web desenvolvidas em PHP, explorando como esses problemas de código impactam métricas de manutenção, como bugs, problemas relatados e o tempo de liberação de novas versões (TTR). A pesquisa também utiliza métodos avançados, como a causalidade de Granger e Entropia de Transferência, para inferir relações causais​"
31,Questões de Pesquisa e Resultados,Causal inference of server- and client-side code smells in web apps evolution,"As quatro questões de pesquisa abordam a evolução dos code smells, as relações entre os smells do lado do servidor e do cliente, e o impacto desses smells em bugs e no tempo de liberação de versões. As respostas revelam que há uma correlação entre a evolução de code smells e o aumento de bugs e atrasos no ciclo de desenvolvimento"
32,Ferramentas e Técnicas Usadas,Causal inference of server- and client-side code smells in web apps evolution,"O artigo descreve as ferramentas utilizadas para detectar code smells, como o PHPMD para o lado do servidor, o ESLint para JavaScript no lado do cliente, e o eextractor, uma ferramenta desenvolvida pelos autores para identificar smells embutidos no código HTML e CSS​"
33,Resultados de Causalidade,Causal inference of server- and client-side code smells in web apps evolution,"Um dos achados principais é a constatação de que os code smells no lado do cliente, como JavaScript e HTML embutido, podem impactar a qualidade do código do lado do servidor, gerando mais bugs e aumentando o tempo de liberação das versões. A densidade de code smells também foi correlacionada com problemas de manutenção, mas com uma contribuição relativamente baixa (entre 10% e 20%)​"
34,Abordagens de Correção de Code Smells,Causal inference of server- and client-side code smells in web apps evolution,"O artigo menciona que, após a detecção de code smells, a refatoração pode ser utilizada para corrigir esses problemas, por exemplo: Modularização do código para reduzir a complexidade. Redução da complexidade do código para melhorar a manutenibilidade e o desempenho. Aplicação de técnicas de refatoração no futuro para melhorar a qualidade do software."
35,Proposta do Algoritmo WCSO para Detecção de Code Smells,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,"O artigo propõe o uso do algoritmo de otimização de enxame de baratas ponderado (WCSO) como uma abordagem eficaz para detectar automaticamente cinco tipos de code smells: blob (large class), spaghetti code, data class, feature envy, e functional decomposition. A proposta de utilizar o WCSO é uma inovação na área, pois o algoritmo é adaptado para otimização de rotas, mas foi modificado para detecção de problemas estruturais no código."
36,Comparação Experimental com Outros Algoritmos,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,"O artigo realiza uma comparação experimental abrangente entre o WCSO e outros algoritmos evolutivos, como Genetic Algorithm (GA), Hybrid Particle Swarm Optimization (HPSOM) e Parallel Evolutionary Algorithm (PEA). Os resultados demonstram que o WCSO apresenta maior precisão e recall na detecção de code smells em projetos de software de código aberto, validando sua eficácia em comparação com essas técnicas."
37,Uma ferramenta interativa,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,"O artigo começa descrevendo a motivação para o desenvolvimento do CodeSmellExplorer, uma ferramenta interativa para ajudar estudantes a reconhecer code smells e aplicar refatorações. A motivação surgiu a partir da observação de que os estudantes de graduação frequentemente falham em identificar más práticas de codificação sem treinamento prévio"
38,Gamificação e Desafios,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,"Outro ponto importante é a incorporação de elementos de gamificação no aprendizado, com desafios de codificação, como o SmellMagnets, em que os estudantes precisam identificar e arrastar code smells para áreas específicas do código. Esses desafios proporcionam feedback em tempo real, tornando o aprendizado mais dinâmico e engajador​"
39,Manutenção é uma das atividades mais dispendiosas em projetos de software,Code smells as system-level indicators of maintainability: An empirical study,"O artigo discute a relevância de se avaliar a manutenibilidade de sistemas de software, ressaltando que a manutenção é uma das atividades mais dispendiosas em projetos de software. Code smells são apresentados como potenciais indicadores de áreas problemáticas de design que podem comprometer a manutenibilidade, sugerindo uma alternativa aos métodos tradicionais baseados em métricas objetivas e julgamentos de especialistas."
40,Limitações dos Code Smells como Métrica,Code smells as system-level indicators of maintainability: An empirical study,"Os resultados mostram que, embora os code smells possam indicar áreas que necessitam de manutenção, eles são fortemente influenciados pelo tamanho do sistema. Isso limita sua eficácia em comparações entre sistemas de tamanhos muito diferentes, pois sistemas maiores podem apresentar uma densidade menor de smells devido à sua escala."
41,Necessidade de garantir a qualidade,Code Smells for Multi-language Systems,"A introdução contextualiza a relevância dos sistemas multilinguagens e a necessidade de garantir a qualidade desses sistemas, destacando os desafios adicionais causados pela combinação de múltiplas linguagens de programação. Ela explica como code smells podem reduzir a qualidade do software, tornando-o mais propenso a erros e difícil de manter."
42,Catalogação mais completa de code smells,Code Smells for Multi-language Systems,"Nesta parte, os autores abordam as ameaças à validade do estudo e destacam as limitações do trabalho. Eles também sugerem direções para futuras pesquisas, como a criação de uma catalogação mais completa de code smells para sistemas multilinguagens e a análise do impacto desses code smells em atributos específicos de qualidade do software."
43,Influência negativa na manutenibilidade,Detection of embedded code smells in dynamic web applications,"Apresenta o contexto e a motivação para o estudo, destacando a importância de detectar ""code smells"" embutidos em aplicações web dinâmicas devido à sua influência negativa na manutenibilidade e qualidade do software. A introdução define o problema e o impacto dos ""code smells"" na modularidade e na separação de responsabilidades.!B47"
44,"Detecção de ""code smells"" embutidos",Detection of embedded code smells in dynamic web applications,"Resume os achados do estudo, ressaltando que a detecção de ""code smells"" embutidos contribui para melhorar a qualidade e a manutenção do código em aplicações web dinâmicas. O artigo conclui que a presença desses problemas aumenta o esforço de manutenção, e WebScent se mostra eficaz para identificar locais específicos no código que precisam de atenção."
45,Associações e percepções dos desenvolvedores,Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,"O tema do artigo é a análise das representações sociais sobre a identificação de ""code smells"" (ou ""cheiros de código"") entre desenvolvedores de software. Ele examina as associações e percepções que desenvolvedores têm ao realizar essa tarefa, buscando entender as preocupações e práticas comuns que se destacam nessa comunidade. O artigo é de caráter empírico e analítico, utilizando um questionário para coletar dados e realizar uma análise de representações sociais, com o objetivo de identificar lacunas entre a pesquisa acadêmica e a prática industrial na identificação de ""code smells""."
46,Questionário para coletar dados sobre as percepções e associações dos desenvolvedores,Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,"Ele utiliza um questionário para coletar dados sobre as percepções e associações dos desenvolvedores em relação à identificação de ""code smells"". Além disso, analisa essas percepções por meio da teoria das representações sociais, o que o aproxima de um estudo analítico e exploratório. Portanto, ele se caracteriza como um survey com uma abordagem analítica e empírica para investigar uma questão prática."
47,Importância de inspeções manuais,Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,"Detalha os principais achados, mostrando que os desenvolvedores associam ""code smells"" com práticas de refatoração, a prevenção de bugs e a importância de inspeções manuais, além de identificar lacunas entre pesquisa e prática na detecção e correção de ""code smells""​"
48,Importância da manutenibilidade do código-fonte em projetos de software complexos e como a presença de code smells pode dificultar esse processo,On Experimenting Refactoring Tools to Remove Code Smells,"A introdução destaca a importância da manutenibilidade do código-fonte em projetos de software complexos e como a presença de code smells pode dificultar esse processo. O artigo motiva o uso de ferramentas de refatoração para melhorar a qualidade interna do software, abordando como a remoção de smells pode facilitar a manutenção e a evolução do código."
49,Busca da ferramenta para auxiliar com os code smells,On Experimenting Refactoring Tools to Remove Code Smells,"As três questões de pesquisa direcionam o estudo, buscando identificar qual ferramenta é mais útil para remover code smells, quais são mais fáceis ou mais difíceis de serem removidos, e qual ferramenta é mais eficaz para cada tipo específico de smell. Essas questões estruturam o experimento e orientam a análise dos resultados. Com base nos experimentos realizados, o artigo discute quais ferramentas se mostraram mais eficazes para diferentes tipos de code smells, oferecendo uma comparação prática entre elas. Na conclusão, são discutidos os pontos fortes e fracos das ferramentas, bem como sugestões para desenvolvedores e para melhorias em ferramentas futuras."
50,Uma área pouco explorada,On the Diffusion and Impact of Code Smells in Web Applications,"A introdução destaca a importância das aplicações web modernas e a necessidade de manter a qualidade do código em um contexto de desenvolvimento rápido e contínuo. O artigo explica como práticas inadequadas de design e codificação, conhecidas como code smells, podem levar ao aumento de complexidade, dificuldade de manutenção e custos adicionais. Essa seção justifica a necessidade do estudo focado em code smells especificamente em aplicações web, abordando uma área pouco explorada anteriormente."
51,Code Smells que exigem maior esforço de manutenção,On the Diffusion and Impact of Code Smells in Web Applications,"Os resultados mostram que code smells de alta complexidade, como High Method Complexity e Excessive Method Length, são muito difundidos e têm uma alta propensão a mudanças. Esses tipos de code smells exigem maior esforço de manutenção. A análise também revela que outros code smells menos frequentes, como Goto Statement, não afetam significativamente a propensão de mudança, sugerindo que não todos os code smells necessitam de prioridade na refatoração."
52,Difusão dos code smells em aplicações web,On the Diffusion and Impact of Code Smells in Web Applications,"A pesquisa mostra que alguns code smells são altamente difundidos em aplicações web. Os code smells relacionados à complexidade e tamanho do código, como High Method Complexity, High NPath Complexity e Excessive Method Length, são os mais comuns e frequentes. Estes são amplamente distribuídos, afetando a maior parte das classes nas aplicações estudadas. Em contrapartida, outros code smells, como Goto Statement e Excessive Depth of Inheritance, são menos frequentes e menos difundidos."
53,A entrega contínua,On the effects of continuous delivery on code quality: A case study in industry,"A entrega contínua permitiu, contudo, identificar problemas mais rapidamente, mas não necessariamente melhorou a qualidade do código de forma consistente​. Os resultados indicam que a entrega contínua melhorou a qualidade do produto em termos de menos defeitos reportados e maior frequência de entregas, mas teve impacto limitado na qualidade do código."
54,O impacto da entrega contínua,On the effects of continuous delivery on code quality: A case study in industry,"A entrega contínua teve um efeito positivo na qualidade do produto, conforme observado pela redução de defeitos reportados pelos usuários após a sua implementação. A quantidade de demandas entregues e a satisfação do usuário também mostraram sinais de melhoria, sugerindo que a entrega contínua beneficiou a qualidade do produto ao permitir feedback mais rápido e lançamentos incrementais, embora as diferenças não tenham sido estatisticamente significativas​"
55,Efeito na Manutenibilidade,On the effects of continuous delivery on code quality: A case study in industry,"Code smells, como duplicação de código e alta complexidade, aumentam a dificuldade de manutenção do software. Quando o código tem muitas duplicações ou é complexo, a equipe precisa investir mais tempo para entender e modificar o sistema, o que pode introduzir novos erros."
56,Impacto no Desempenho da Equipe,On the effects of continuous delivery on code quality: A case study in industry,"O artigo discute que a presença de code smells pode dificultar a colaboração entre os desenvolvedores, especialmente em um contexto de entrega contínua, onde mudanças frequentes são comuns. Code smells podem reduzir a clareza do código, tornando o trabalho em equipe mais desafiador."
57,Identificação e Mitigação Contínua,On the effects of continuous delivery on code quality: A case study in industry,"Embora ferramentas como o SonarQube possam identificar code smells automaticamente, a mitigação requer atenção contínua da equipe. A entrega contínua, com práticas de integração contínua, ajuda a detectar e corrigir problemas rapidamente, mas os code smells exigem uma cultura de refatoração constante."
58,Consequências na Qualidade do Produto Final,On the effects of continuous delivery on code quality: A case study in industry,"Code smells podem comprometer a qualidade do produto entregue aos usuários finais, pois eles afetam tanto a estabilidade quanto a performance do sistema, tornando-o mais propenso a falhas ou degradando sua performance sob carga."
59,Linguagem é amplamente utilizada para desenvolvimento web,"PHP code smells in web apps: Evolution, survival and anomalies","A introdução do artigo explica o conceito de ""code smells"" como indicadores de problemas de design que podem prejudicar a manutenção e a compreensão do código ao longo do tempo. O artigo destaca a importância de estudar ""code smells"" em aplicativos PHP, dado que essa linguagem é amplamente utilizada para desenvolvimento web, mas pouco pesquisada nesse contexto"
60,Refatoração o código antes da entrega final,"PHP code smells in web apps: Evolution, survival and anomalies","O artigo conclui que ""code smells"" permanecem no código por um período longo e que a taxa de remoção não aumentou significativamente nos últimos anos. Recomenda-se que os desenvolvedores monitorem continuamente a densidade de ""smells"" e implementem refatorações para reduzir a dívida técnica e melhorar a qualidade do código antes das versões finais​"
61,Ferramenta PHPMD,"PHP code smells in web apps: Evolution, survival and anomalies","O uso da ferramenta PHPMD (PHP Mess Detector) é central no estudo, pois ela permite a identificação dos ""code smells"" ao longo de várias versões dos aplicativos. O artigo detalha o processo de coleta de dados, incluindo a organização em séries temporais, a análise de correlação com variáveis como o tamanho da aplicação e o tamanho da equipe de desenvolvimento, e o uso de técnicas estatísticas, como a análise de sobrevivência. Esses métodos foram essenciais para quantificar e interpretar a presença e a evolução dos ""smells""​"
62,Vulnerabilidades em sistemas web,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,"A introdução apresenta a relevância de modelos de controle de acesso para a segurança de sistemas web e a importância de identificar vulnerabilidades nesses modelos. Ela explica o conceito de semantic smells como implementações inadequadas que, embora não necessariamente causadoras de falhas imediatas, podem levar a problemas de segurança ao longo do tempo."
63,Identificar semantic smells e erros em modelos de controle de acesso,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,"A metodologia proposta combina análise estática, model checking e técnicas de recuperação de informações (usando Latent Dirichlet Allocation - LDA) para identificar semantic smells e erros em modelos de controle de acesso. Esta seção detalha cada etapa do processo, desde a análise dos privilégios no código-fonte até a associação de tópicos para inferir inconsistências de controle de acesso."
64,Impacto significativo na propensão a defeitos no código,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,"O estudo mostrou que os code smells têm um impacto significativo na propensão a defeitos no código. A análise de correlação indicou uma relação positiva entre a presença de code smells e a probabilidade de o código ser defeituoso. Embora a correlação não seja muito alta, ela é estatisticamente significativa, sugerindo que a presença de code smells aumenta a probabilidade de defeitos no longo prazo."
65,Necessidade de prever defeitos,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,"A introdução destaca a relevância da manutenção de software e a necessidade de prever defeitos de forma eficaz para otimizar recursos, tempo e esforço. O artigo aborda como code smells são indicadores subexplorados de possíveis defeitos e propõe a utilização dessas métricas em modelos de predição de defeitos para apoiar as equipes de manutenção."
66,Manutenção está relacionado com code smells,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,"O estudo concluiu que apenas uma parte dos problemas de manutenção pode ser explicada pela presença de code smells. Menos da metade dos problemas (43%) estavam relacionados ao código-fonte, e dentre esses, 58% estavam claramente relacionados a algum dos doze code smells analisados. Assim, a detecção de code smells tem um valor limitado como preditor único de problemas de manutenção."
67,Também existem o fator não relacional aos cod smells,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,"O estudo também destacou que muitos problemas de manutenção não estavam relacionados diretamente aos code smells detectados. Fatores como infraestrutura inadequada, estratégia de desenvolvimento dos programadores, dependências de serviços externos e desafios relacionados ao ambiente de execução contribuíram significativamente para os problemas de manutenção. Isso reforça que a manutenibilidade do software é multifacetada e não pode ser avaliada apenas por características do código."
68,Detecção de padrões de acoplamento e revisão manual,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,"O artigo sugere que, para melhorar as avaliações de manutenibilidade, os desenvolvedores e equipes devem ir além da detecção de code smells isolados. Eles devem adotar abordagens que considerem a análise de dependências, detecção de padrões de acoplamento e revisão manual para encontrar problemas não identificáveis por ferramentas automatizadas."
