id,situacao,chave,titulo,ano,tipo_veiculo,veiculo,paginas,doi,tipo_publicacao,tipo_estudo,qualis,relevancia_para_rsl,foco_php,linguagens_analisadas,ferramentas_de_deteccao_usadas,ferramentas_citadas,n_registros_de_cs,qps_para_as_quais_contribui
S11,incluído,abidi_2019,Code Smells for Multi-language Systems,2019,Conferência,Proceedings of the 24th European Conference on Pattern Languages of Programs (EuroPLop '19),13 p.,10.1145/3361149.3361161,Artigo de conferência de padrões (EuroPLoP 2019),Survey e estudo de caso,B2,3 - Moderadamente relevante,Não,Java; C/C++ (JNI),"— (catálogo, sem detecção)",,12,
S12,incluído,mello_2019,Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis,2019,Conferência,2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),1-6,10.1109/ESEM.2019.8870141,"Artigo de conferência (ESEM 2019, 6 p.; trilha não indicada no PDF)",Survey e estudo de caso,A2,3 - Moderadamente relevante,Não,não se aplica,— (questionário com desenvolvedores),,5,QP4
S13,incluído,bessghaier_diffusion_2020,On the Diffusion and Impact of Code Smells in Web Applications,2020,Conferência,Services Computing – SCC 2020,67-84,10.1007/978-3-030-59592-0_5,"Artigo completo em anais de conferência (SCC 2020, LNCS 12409)",Estudo de caso e experimento,A2,5 - Muito relevante,Sim,PHP,PHPMD,PHPMD (PHP Mess Detector),12,QP1; QP3
S14,incluído,catolino_2020,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,2020,Conferência,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),779-780,10.1109/ICSME46990.2020.00088,"Late-breaking idea paper (ICSME 2020, 2 p.); mantido: não é resumo nem pôster (decisão de 24/09/2026)",Estudo de caso,A2,3 - Moderadamente relevante,Não,não especificada,"— (proposta, sem dados)",,3,
S15,incluído,bessghaier_longitudinal_2021,A longitudinal exploratory study on code smells in server side web applications,2021,Periódico,Software Quality Journal,901-941,10.1007/s11219-021-09567-w,Artigo completo de periódico (Software Quality Journal),Estudo de caso,A3,5 - Muito relevante,Sim,PHP,PHPMD,PHPMD (PHP Mess Detector); PyDriller; SZZ Algorithm; Apriori Algorithm,12,QP1; QP2; QP3
S16,incluído,tarwani_ao_2021,Application of AO* Algorithm in Recognizing the Optimum Refactoring sequence for examining the effect on Maintainability: An Empirical Study,2021,Conferência,"2021 11th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",188-195,10.1109/Confluence51648.2021.9377109,Artigo completo de conferência (Confluence 2021),Estudo de caso,A2,2 - Pouco relevante,Não,Java,— (ferramenta de identificação dos smells não declarada),Jdeodorant,4,QP4
S17,incluído,zhao_2021,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,2021,Conferência,"2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",177-188,10.1109/SANER50967.2021.00025,Artigo completo de conferência (SANER 2021),Estudo de caso,A1,2 - Pouco relevante,Não,LabVIEW,— (survey),,7,
S18,incluído,rubert_farias_2022,On the effects of continuous delivery on code quality: A case study in industry,2022,Periódico,Computer Standards & Interfaces,103588,10.1016/j.csi.2021.103588,Artigo completo de periódico (Computer Standards & Interfaces),Estudo de caso,A1,5 - Muito relevante,Sim,PHP,SonarQube,SonarQube,2,QP1; QP3; QP4
S19,incluído,tarwani_deep_2022,Application of Deep Learning models for Code Smell Prediction,2022,Conferência,"2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",1-5,10.1109/ICRITO56286.2022.9965048,"Artigo de conferência (ICRITO 2022, 5 p.)",Experimento e modelagem,?,3 - Moderadamente relevante,Não,Java,— (ferramenta de rotulagem dos smells não informada),,11,
S20,incluído,rio_abreu_2023,"PHP code smells in web apps: Evolution, survival and anomalies",2023,Periódico,Journal of Systems and Software,111644,10.1016/j.jss.2023.111644,Artigo completo de periódico (Journal of Systems and Software),Experimento e modelagem,?,5 - Muito relevante,Sim,PHP,PHPMD,PHPMD (PHP Mess Detector),18,QP1; QP3
S21,incluído,saranya_2023,Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,2023,Conferência,2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),1-8,10.1109/ICCCNT56998.2023.10306683,Artigo completo de conferência (ICCCNT 2023),Experimento,?,3 - Moderadamente relevante,Não,Java,WCSO (algoritmo proposto pelos autores),PMD e CheckStyle,18,
S22,incluído,zivotin_2023,Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,2023,Conferência,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),1-4,10.1109/ETFA54631.2023.10275499,"Artigo curto de conferência, de proposta (ETFA 2023, 4 p.; trilha não indicada no PDF)",Modelagem e survey,A2,2 - Pouco relevante,Não,IEC 61499,— (artigo de proposta),JCodeOdor,4,
S23,incluído,rio_causal_2024,Causal inference of server- and client-side code smells in web apps evolution,2024,Periódico,Empirical Software Engineering,133,10.1007/s10664-024-10478-0,Artigo completo de periódico (Empirical Software Engineering),Estudo de caso,?,5 - Muito relevante,Sim,PHP; HTML; CSS; JavaScript,PHPMD; ESLint; eextractor (dos autores),PHPMD (PHP Mess Detector); ESLint; eextractor,30,QP1; QP2; QP3
—,"excluído (CE5: pôster/demo, VL/HCC Poster and Demos; decisão de 24/09/2026)",raab_2012,Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,2012,Conferência,2012 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),261-262,,"Pôster/demo (VL/HCC 2012, trilha Poster and Demos, 2 p.): excluído pelo CE5 (decisão de 24/09/2026)",Estudo de caso e experimento,A3,2 - Pouco relevante,Não,não se aplica,"— (ferramenta educacional, sem detecção automática)",CodeSmellExplorer,4,
