id,chave,qa1_objetivo,qa2_metodo,qa3_contexto,qa4_resultados,nota,justificativa
S11,abidi_2019,1,"0,5","0,5","0,5","2,5","Objetivo explícito na Seção 3 (catalogar smells de sistemas multilinguagem), sem RQs formais; Seção 3 e Fig. 1 descrevem fontes, palavras-chave, critérios de inclusão e consenso entre autores, mas o detalhamento é remetido a outro trabalho e não há contagem de candidatos; contexto: cerca de 20 projetos JNI, sem tamanho nem domínio; os 12 smells vêm documentados com exemplos (Figs. 3–17), sem validação empírica de prevalência ou impacto. Alternativa: QA4 0 defensável (catálogo sem avaliação, exemplos apenas ilustrativos)."
S12,mello_2019,1,1,1,"0,5","3,5","Objetivo no resumo estruturado e RQ explícita na Seção III; Tabela I traz o questionário, a Seção III-B descreve a análise (frequência, ordem de evocação, quadrantes) e a Seção V, o agrupamento por três pesquisadores (Tabela III); Seção IV caracteriza 32 desenvolvedores de empresas brasileiras; Tabela IV responde à RQ, mas a conclusão sobre o descompasso entre pesquisa e prática vem de uma busca informal na literatura, sem método. Alternativa: QA4 1 defensável: a RQ formal é respondida diretamente pelos dados da Tabela IV."
S13,bessghaier_diffusion_2020,1,1,1,"0,5","3,5","RQ1–RQ3 e hipóteses explícitas na Seção 3.1; Seção 3 descreve o PHPMD, os 12 CS (Tabela 1), a mineração git (Eq. 1), o teste t com Cohen-d e a regressão logística (Eq. 2), com pacote de replicação; contexto na Tabela 2 (5 apps PHP, 223 releases); Tabelas 3–4 e Figs. 2–3 trazem os resultados e a Seção 5 trata das ameaças; porém o resumo e a conclusão destacam Too Many Methods e High Coupling, enquanto a Tabela 4 aponta HMC (32%) e EML (28%). Alternativa: QA4 1 defensável: há testes estatísticos (p=0,03, d=1,8) e as questões são respondidas; as inconsistências podem ser vistas como falhas de redação."
S14,catolino_2020,1,"0,5",0,0,"1,5","Objetivo (relação entre CS e sustentabilidade) e perguntas motivadoras na Seção I; Seção II descreve apenas um plano (análise de sobrevivência, variáveis, entrevistas), sem ferramenta, projetos ou critérios definidos; contexto só como 'several open-source projects'; não há resultados (Seção III trata de implicações esperadas). Alternativa: QA1 0,5 defensável (perguntas retóricas, não RQs formais); QA2 0 também possível (plano não executado)."
S15,bessghaier_longitudinal_2021,1,1,1,1,4,"RQs explícitas com hipóteses (Seção 3); Seções 3.2–3.3 descrevem a seleção dos projetos, o PHPMD com 12 CS (Tabela 2), Apriori, Qui-quadrado/Cramér's V, Kendall, Mann-Whitney/Cliff's delta, regressão logística, SZZ via PyDriller, e há pacote de replicação; Tabela 1 descreve 10 sistemas PHP (430 releases, KLOC, commits); Tabelas 4–9 e Figuras 3–15 respondem cada RQ; Seção 6 discute ameaças. Alternativa: QA4 0,5 defensável: vários tamanhos de efeito são pequenos ou desprezíveis (ex.: Cliff's delta 0,235 na RQ3), embora o texto destaque razões como '6 vezes mais falhas'."
S16,tarwani_ao_2021,1,"0,5",1,"0,5",3,"RQ1–RQ3 na Introdução; Seções III–V descrevem as 7 métricas, os 11 smells, as 8 refatorações e o fluxo do AO* (Figs. 1–2), mas não dizem como os smells foram identificados nem com que ferramenta as métricas foram medidas, omitem o cálculo da função de qualidade e aplicam o AO* manualmente; Tabela I descreve 4 sistemas Java; Tabelas III–XV mostram métricas somadas de uma classe por sistema, sem estatística. Alternativa: QA2 0 defensável (sem o procedimento de identificação dos smells, a replicação é inviável)."
S17,zhao_2021,1,1,1,1,4,"RQ1–RQ4 explícitas na Seção II.B; Seção III descreve o questionário (5 seções, Likert, Tabela 2, instrumento público), o recrutamento e a filtragem de 65 para 45 respostas; Seção IV define a medida de percepção e usa Mann-Whitney U; contexto: LabVIEW, 20 smells (Tabela 1), 45 participantes de 15 países (Figs. 2–3); Tabelas 3–4 e Figs. 4–5 respondem às RQs; Seção VI trata das ameaças. Alternativa: QA4 0,5 defensável: amostra pequena (45), sem correção para comparações múltiplas, e a RQ4 se baseia em menos da metade dos respondentes."
S18,rubert_farias_2022,1,"0,5",1,"0,5",3,"Objetivo pelo GQM, RQ1–RQ2 e hipóteses nas Seções 4.1–4.2; Seções 4.5–4.6 citam SonarQube, Redmine e os testes (Shapiro-Wilk, t pareado, Wilcoxon), mas não informam as regras do SonarQube, não descrevem o questionário de satisfação e descartam 2 versões por problemas de coleta; Seção 4.4 descreve a empresa, a equipe e o ERP em PHP (3,9 milhões de LOC); Tabelas 5–6 trazem os dados, mas há inconsistências. Alternativa: QA2 1 defensável pela descrição das variáveis (Tabelas 2–3). Problemas da QA4: o teste unilateral dá p≈0,99 e ainda assim a conclusão fala em 'strong evidence'; H2 é aceita sem significância; a conclusão diz que a duplicação aumentou, mas ela caiu 7,74%; quartis incoerentes na Tabela 5."
S19,tarwani_deep_2022,1,"0,5",1,"0,5",3,"Objetivo (prever CS com CNN, LSTM e MLP) explícito, sem RQs; Seção III descreve os datasets, as 17 métricas, a seleção por Information Gain e a divisão 67:33, com código no GitHub, mas não diz como os 11 smells foram rotulados nem como as métricas foram extraídas, e omite hiperparâmetros; contexto: 4 sistemas Java; resultados só em acurácia (Fig. 7, '99% em todos os datasets'), sem precisão, revocação ou testes; a seção de ameaças anunciada não existe. Alternativa: QA3 0,5 defensável (sem versões, LOC nem distribuição das classes); QA4 0 defensável (acurácia uniforme de 99% em dados provavelmente desbalanceados)."
S20,rio_abreu_2023,1,1,1,1,4,"Objectives' no resumo e RQ1–RQ5 na Seção 3.1; Seções 3.2–3.6 descrevem os critérios de seleção das apps, os limiares do PHPMD (Tabela 2), a coleta em 7 passos (Fig. 1), a análise estatística no R (Pearson, Kaplan-Meier, log-rank) e o método por RQ, com pacote de replicação público; Tabela 1 descreve as 12 apps (domínio, releases, período, LOC); Tabelas 3–12 e Figs. 3–13 sustentam cada RQ; Seção 5 trata das ameaças. Alternativa: QA4 0,5 defensável: na Tabela 7 a linha do MediaWiki repete os valores do OpenCart (provável erro de dados), as correlações foram feitas sobre séries suavizadas e a resposta à RQ5 é ilustrativa."
S21,saranya_2023,1,"0,5","0,5","0,5","2,5","Objetivo declarado no resumo e na Introdução (detectar 5 CS com o WCSO e comparar com outros algoritmos), sem RQs; Seção IV traz o diagrama (Fig. 1), as métricas (Tabela 1), o pseudocódigo e as Eqs. 1–3, mas faltam os parâmetros, a origem dos exemplos de smells e a configuração dos algoritmos comparados; Tabela 2 lista 9 sistemas, sem declarar a linguagem nem o domínio; só a Tabela 3 (precisão) traz resultados, sem revocação, estatística nem ameaças. Alternativa: QA2 0 defensável (replicação inviável sem parâmetros e oráculo); QA4 0 defensável (a afirmação de que o WCSO supera os outros se apoia em uma única tabela de precisão)."
S22,zivotin_2023,1,0,"0,5",0,"1,5","Objetivo explícito no resumo e na Introdução (cenários de Shotgun Surgery em IEC 61499 e abordagens de detecção); não há método: os cenários (Seção III) e as abordagens (Seção IV) são argumentados conceitualmente, sem coleta nem análise de dados; o contexto descreve só o domínio e a linguagem (IEC 61499, 4diac IDE), sem sistemas analisados; a Seção VI deixa a implementação e a avaliação para trabalho futuro. Alternativa: QA3 0 defensável (nenhum sistema ou dado descrito); QA4 0,5 seria generoso."
S23,rio_causal_2024,1,1,1,1,4,"Resumo estruturado e RQ1–RQ4 na Seção 3.1; Seção 3 detalha a seleção dos apps (3.2), o catálogo de CS com limiares (Tabelas 2–4), a extração automatizada, o pré-processamento e as estatísticas (correlação de séries, Granger, Transfer Entropy), com pacote de replicação; Tabela 1 descreve os 12 apps PHP (811 releases, KLOC, domínio, período); Tabelas 5–12 e Figs. 5–7 trazem os resultados; Seção 5.8 trata das ameaças. Alternativa: QA4 0,5 defensável: a linguagem de 'causalidade' vai além da inferência estatística (Granger/TE), há milhares de testes sem correção completa de p-valor e parte dos resultados fica só no apêndice."
