linha_na_planilha_original,estudo_id,chave,nome_no_estudo,descricao,marcado_como_php_na_extracao,grupo_de_sinonimos,categoria,no_catalogo,n_no_catalogo,nome_no_catalogo,especificidade,decisao,observacoes
11,S15,bessghaier_longitudinal_2021,Excessive Method Length (EML),Métodos muito longos dificultam o entendimento e a manutenção.,Sim,Excessive Method Length,Tamanho,Sim,12,Excessive Method Length,G,ok (24/09/2026),
12,S15,bessghaier_longitudinal_2021,Excessive Class Length (ECL),Classes grandes são difíceis de gerenciar e manter.,Sim,Excessive Class Length,Tamanho,Sim,11,Excessive Class Length,G,ok (24/09/2026),
13,S15,bessghaier_longitudinal_2021,Excessive Parameter List (EPL),Muitos parâmetros em métodos indicam que o método pode estar realizando muitas funções.,Sim,Excessive Parameter List,Tamanho,Sim,13,Excessive Parameter List,G,ok (24/09/2026),
14,S15,bessghaier_longitudinal_2021,Too Many Public Methods (TMPM),Muitas funções públicas aumentam o risco de acoplamento com classes externas.,Sim,Too Many Public Methods,Tamanho,Sim,15,Too Many Public Methods,G,ok (24/09/2026),
15,S15,bessghaier_longitudinal_2021,Too Many Methods (TMM),Um grande número de métodos em uma classe pode indicar baixa coesão.,Sim,Too Many Methods,Tamanho,Sim,14,Too Many Methods,G,ok (24/09/2026),
16,S16,tarwani_ao_2021,Long Method,Métodos muito longos que dificultam a leitura e manutenção do código.,Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
17,S16,tarwani_ao_2021,Feature Envy,Quando um método em uma classe utiliza mais de outra classe do que da sua própria.,Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
18,S16,tarwani_ao_2021,Large Class,"Classes com muitas responsabilidades, o que pode tornar o código mais difícil de manter.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
19,S16,tarwani_ao_2021,Divergent Change,"Quando uma única classe é alterada frequentemente por motivos diferentes, violando o princípio de responsabilidade única.",Não,Divergent Change,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
20,S19,tarwani_deep_2022,God Class,"Uma God Class é uma classe que assume muitas responsabilidades, violando o princípio da responsabilidade única. Ela tende a centralizar a lógica do sistema, tornando o código difícil de manter e entender, além de aumentar o acoplamento com outras classes.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
21,S19,tarwani_deep_2022,Long Method,"Um método que tem um número excessivo de linhas de código, o que pode indicar que ele está realizando muitas tarefas diferentes. Métodos longos são mais difíceis de entender, testar e manter. A solução normalmente envolve quebrá-lo em métodos menores.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
22,S19,tarwani_deep_2022,Feature Envy,"Ocorre quando um método em uma classe está mais interessado em dados ou métodos de outra classe do que em sua própria classe. Esse smell indica que o método pode estar no lugar errado e deveria ser movido para a classe da qual ele é ""invejoso"".",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
23,S19,tarwani_deep_2022,Type Checking,"Este smell aparece quando o código faz muitas verificações de tipos para alterar seu comportamento de acordo com o tipo de objeto que está sendo tratado. Isso pode indicar que o código não está usando bem o polimorfismo, resultando em código menos flexível e mais difícil de manter.",Não,Switch Statement / Type Checking,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
24,S19,tarwani_deep_2022,Empty Catch Block,"Refere-se a um bloco de captura (catch) de exceções que não faz nada quando uma exceção é lançada. Isso pode mascarar problemas no código, pois falhas não são tratadas nem informadas, dificultando a depuração e a confiabilidade do sistema.",Não,Empty Catch Block,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
25,S19,tarwani_deep_2022,Dummy Handler,"É um manipulador de exceções (catch block) que contém um código mínimo ou irrelevante, como um simples comentário ou um log trivial, sem tratar adequadamente a exceção. Isso pode resultar em problemas não resolvidos no sistema.",Não,Dummy Handler,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
26,S19,tarwani_deep_2022,Unprotected Main,Refere-se a um método main que não possui controle de exceções adequado. Um main desprotegido pode permitir que exceções não tratadas causem o encerramento abrupto do programa.,Não,Unprotected Main,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
27,S19,tarwani_deep_2022,Nested Try Statement,"Ocorre quando blocos try-catch são aninhados de forma excessiva dentro de outros blocos try-catch. Isso torna o código mais difícil de ler, manter e depurar, além de aumentar a complexidade desnecessariamente.",Não,Nested Try Statement,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
28,S19,tarwani_deep_2022,Careless Cleanup,"Refere-se à ausência ou à má implementação de processos de limpeza, como fechar arquivos ou liberar recursos após seu uso, o que pode causar vazamentos de memória ou outros problemas de desempenho.",Não,Careless Cleanup,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
29,S19,tarwani_deep_2022,Exception Thrown in Finally Block,"Ocorre quando uma exceção é lançada dentro de um bloco finally, que normalmente é usado para garantir que os recursos sejam limpos. Isso pode obscurecer exceções lançadas no bloco try, dificultando a detecção da causa original do problema e possivelmente gerando comportamento inesperado no código.",Não,Exception Thrown in Finally Block,Exceções,Não,,,,fora do catálogo: estudo não é de PHP,
30,S19,tarwani_deep_2022,Over Logging,"Geração excessiva de logs pode impactar negativamente a performance do sistema, aumentar a complexidade para a análise de problemas e dificultar a manutenção.",Não,Over Logging,Documentação,Não,,,,fora do catálogo: estudo não é de PHP,
31,S10,souza_2017,Large Class (Classe Grande),"Refere-se a classes que possuem muitas responsabilidades, métodos e atributos, tornando-as difíceis de gerenciar e manter. Isso vai contra o princípio de uma classe ter uma única responsabilidade. Uma ""Large Class"" concentra muitas funcionalidades, o que pode tornar o código mais complexo e difícil de entender.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
32,S10,souza_2017,Long Method (Método Longo),"Refere-se a métodos que se tornam excessivamente longos e complexos à medida que novas funcionalidades são adicionadas. Um ""Long Method"" tende a ser difícil de entender, testar e manter, além de violar o princípio de que cada método deve realizar apenas uma tarefa.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
33,S10,souza_2017,Data Class (Classe de Dados),"Uma ""Data Class"" contém principalmente atributos e métodos básicos para acessar esses atributos (getters e setters), sem implementar lógica complexa. Essas classes agem como recipientes de dados e não têm comportamentos significativos associados a elas, o que as torna vulneráveis a se tornarem meros agregadores de informações.",Não,Data Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
34,S10,souza_2017,Feature Envy (Inveja de Funcionalidade),"Esse ""bad smell"" ocorre quando uma classe acessa os dados de outra classe com mais frequência do que os seus próprios dados, sugerindo que parte de sua funcionalidade poderia estar na outra classe. A classe ""invejosa"" está mais interessada em atributos e métodos de outra classe, o que indica uma má separação de responsabilidades.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
35,S10,souza_2017,Refused Bequest (Herança Recusada),"Esse problema surge quando uma subclasse herda métodos ou atributos de uma superclasse, mas não os utiliza de maneira significativa. A subclasse “recusa” a herança ao ignorar ou sobrecarregar métodos e atributos herdados, o que pode ser um sinal de que a relação de herança foi mal projetada.",Não,Refused Bequest,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
36,S06,wagey_2015,Código duplicado (Duplicate code),"Ocorre quando há trechos de código idênticos ou muito similares em diferentes partes do software. Isso dificulta a manutenção, pois qualquer mudança precisa ser replicada em várias áreas, aumentando a chance de erros.",Não,Duplicate Code,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
37,S06,wagey_2015,Lista de parâmetros longa (Long parameter list),"Quando um método ou função recebe muitos parâmetros, o código pode se tornar confuso e difícil de entender. Além disso, torna a manutenção mais complexa, já que muitas dependências são passadas de uma função para outra.",Não,Excessive Parameter List,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
38,S06,wagey_2015,Método longo (Long method),"Um método que realiza muitas tarefas ou tem um grande número de linhas de código. Isso torna o método mais difícil de entender, testar e manter, além de sugerir que ele poderia ser dividido em métodos menores e mais especializados.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
39,S06,wagey_2015,Classe preguiçosa (Lazy class),Uma classe que faz muito pouco ou que não é mais usada de maneira significativa no código. Essas classes consomem recursos sem oferecer benefícios claros e podem ser removidas ou refatoradas para simplificar o design.,Não,Lazy Class,Código não utilizado,Não,,,,fora do catálogo: estudo não é de PHP,
40,S06,wagey_2015,Classe grande (Large class),"Quando uma classe tem muitas responsabilidades, incluindo muitos métodos ou atributos. Isso viola o princípio de ""responsabilidade única"" e torna o código difícil de manter e entender, já que a classe está tentando fazer muitas coisas ao mesmo tempo.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
41,S17,zhao_2021,Excessive Block Diagram Size,Diagrama de blocos com tamanho excessivo.,Não,Excessive Block Diagram Size,Modelos LabVIEW,Não,,,,fora do catálogo: estudo não é de PHP,
42,S17,zhao_2021,Wire Clutter,Excesso de fios nos diagramas.,Não,Wire Clutter,Modelos LabVIEW,Não,,,,fora do catálogo: estudo não é de PHP,
43,S17,zhao_2021,Inconsistent Use of SubVIs,Uso inconsistente de SubVIs.,Não,Inconsistent Use of SubVIs,Modelos LabVIEW,Não,,,,fora do catálogo: estudo não é de PHP,
44,S17,zhao_2021,Deeply Nested Structures,Estruturas aninhadas profundamente.,Não,Aninhamento excessivo,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
45,S17,zhao_2021,Magic Numbers,Uso de números literais sem explicação.,Não,Magic Numbers,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
46,S17,zhao_2021,Unnecessary Local Variables,Uso de variáveis locais desnecessárias.,Não,Unnecessary Local Variables,Código não utilizado,Não,,,,fora do catálogo: estudo não é de PHP,
47,S17,zhao_2021,Repetitive Code,Código repetido que poderia ser abstraído,Não,Duplicate Code,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
48,S08,palomba_textual_2016,Long Method,"Ocorre quando um método implementa várias funcionalidades em vez de apenas uma responsabilidade, violando o princípio da responsabilidade única. Métodos longos são difíceis de entender e manter. A refatoração associada é o Extract Method, que separa as responsabilidades em métodos menores.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
49,S08,palomba_textual_2016,Feature Envy,"Refere-se a um método que ""inveja"" outra classe, ou seja, utiliza mais atributos e métodos de outra classe do que da própria classe onde está localizado. A solução é movê-lo para a classe onde ele deveria estar, usando a refatoração Move Method.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
50,S08,palomba_textual_2016,Blob,"Também conhecido como God Class, é uma classe gigantesca que centraliza o comportamento de uma parte significativa do sistema, contendo muitas responsabilidades. Esse smell reduz a coesão e dificulta a manutenção. A refatoração comum é o Extract Class, que divide a classe em várias outras classes menores.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
51,S08,palomba_textual_2016,Promiscuous Package,"Surge quando um pacote contém classes que implementam muitas funcionalidades diferentes, tornando-o difícil de entender e manter. A solução típica é Extract Package, que redistribui as classes em pacotes menores e mais coesos.",Não,Promiscuous Package,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
52,S08,palomba_textual_2016,Misplaced Class,"Indica uma classe que está localizada em um pacote que não está relacionado às funcionalidades que ela implementa. A classe deveria ser movida para outro pacote mais adequado, através da refatoração Move Class.",Não,Misplaced Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
53,S08,palomba_textual_2016,Swiss Army Knife,"Refere-se a uma classe ou módulo que contém muitas funcionalidades diferentes, semelhantes a um ""canivete suíço"", dificultando a coesão e a reutilização.",Não,Swiss Army Knife,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
54,S08,palomba_textual_2016,Functional Decomposition,"Este smell ocorre quando o código é estruturado de maneira excessivamente procedimental, em vez de orientado a objetos, levando a baixa coesão e reutilização de código.",Não,Functional Decomposition,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
55,S08,palomba_textual_2016,Spaghetti Code,"Código que é difícil de entender e seguir devido à falta de estrutura adequada, geralmente resultante de um código com muitos loops aninhados ou lógica condicional espalhada.",Não,Spaghetti Code,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
56,S08,palomba_textual_2016,State Checking,"Um smell onde um método executa muitas verificações de estado (geralmente em objetos) antes de executar sua lógica principal, o que pode indicar falta de coesão e problemas de design.",Não,Switch Statement / Type Checking,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
57,S08,palomba_textual_2016,Divergent Change,"Ocorre quando uma única classe é modificada por diferentes motivos, o que indica que ela pode estar assumindo mais responsabilidades do que deveria. A refatoração apropriada é dividir essa classe em classes menores.",Não,Divergent Change,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
58,S08,palomba_textual_2016,Parallel Inheritance,"Quando uma hierarquia de herança reflete mudanças em várias classes ao mesmo tempo, tornando difícil manter a consistência entre elas.",Não,Parallel Inheritance,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
59,S08,palomba_textual_2016,Shotgun Surgery,"Um smell que ocorre quando uma única mudança precisa ser aplicada a várias classes ao mesmo tempo, indicando uma má separação de responsabilidades.",Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
60,S22,zivotin_2023,Shotgun Surgery,"Refere-se a um cheiro de código onde uma única mudança em uma parte do software requer várias pequenas mudanças em diferentes lugares. Isso é problemático, pois aumenta o esforço de manutenção e o risco de erros",Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
61,S22,zivotin_2023,Duplicated Code,"Fragmentos de código duplicados em diferentes partes do sistema. Quando ocorre uma alteração em um desses fragmentos, todas as cópias precisam ser atualizadas, o que pode levar a erros e dificuldades de manutenção",Não,Duplicate Code,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
62,S22,zivotin_2023,Magic Numbers,"Números codificados diretamente no código sem uma explicação clara, espalhados por diferentes partes do software. Alterações nesses números podem levar a problemas de manutenção, pois é difícil garantir que todas as instâncias sejam atualizadas corretamente",Não,Magic Numbers,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
63,S22,zivotin_2023,Feature Envy,"Um ""bad smell"" onde um método em uma classe parece mais interessado em dados de outra classe, sugerindo que talvez o comportamento deveria estar nessa outra classe .",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
64,S23,rio_causal_2024,Cyclomatic Complexity,Excesso de pontos de decisão em um método (acima de 10).,Sim,Cyclomatic Complexity,Complexidade,Sim,18,Cyclomatic Complexity,G,ok (24/09/2026),
65,S23,rio_causal_2024,NPath Complexity,Caminhos de execução acíclicos excedentes em um método (acima de 200).,Sim,NPath Complexity,Complexidade,Sim,19,NPath Complexity,G,ok (24/09/2026),
66,S23,rio_causal_2024,Method Length,Método muito longo (mais de 100 linhas).,Sim,Excessive Method Length,Tamanho,Sim,12,Excessive Method Length,G,ok (24/09/2026),
67,S23,rio_causal_2024,Class Length,Classe muito longa (mais de 1000 linhas).,Sim,Excessive Class Length,Tamanho,Sim,11,Excessive Class Length,G,ok (24/09/2026),
68,S23,rio_causal_2024,Parameter List,Lista de parâmetros muito extensa em um método (mais de 10 parâmetros).,Sim,Excessive Parameter List,Tamanho,Sim,13,Excessive Parameter List,G,ok (24/09/2026),
69,S23,rio_causal_2024,Public Count,Muitos métodos/atributos públicos (mais de 45).,Sim,Excessive Public Count,Tamanho,Sim,17,Excessive Public Count,G,ok (24/09/2026),
70,S23,rio_causal_2024,Too Many Fields,Classe com muitos campos (mais de 15).,Sim,Too Many Fields,Tamanho,Sim,16,Too Many Fields,G,ok (24/09/2026),
71,S23,rio_causal_2024,Too Many Methods,Classe com muitos métodos (mais de 25).,Sim,Too Many Methods,Tamanho,Sim,14,Too Many Methods,G,ok (24/09/2026),
72,S23,rio_causal_2024,Public Methods,Classe com muitos métodos públicos (mais de 10).,Sim,Too Many Public Methods,Tamanho,Sim,15,Too Many Public Methods,G,ok (24/09/2026),
73,S23,rio_causal_2024,Class Complexity,Soma excessiva das complexidades dos métodos da classe (acima de 50).,Sim,Excessive Class Complexity,Complexidade,Sim,20,Excessive Class Complexity,G,ok (24/09/2026),
74,S23,rio_causal_2024,Number of Children,Classe com número excessivo de filhos (acima de 15).,Sim,Number of Children,Herança e acoplamento,Sim,23,Number of Children,G,ok (24/09/2026),
75,S23,rio_causal_2024,Depth of Inheritance,Classe com muitos níveis de herança (acima de 6).,Sim,Depth of Inheritance,Herança e acoplamento,Sim,22,Depth of Inheritance,G,ok (24/09/2026),
76,S23,rio_causal_2024,Coupling Between Objects,Classe com muitas dependências (mais de 13).,Sim,Coupling Between Objects,Herança e acoplamento,Sim,21,Coupling Between Objects,G,ok (24/09/2026),
77,S23,rio_causal_2024,Development Code Fragment,"Fragmentos de código de desenvolvimento como var_dump(), print_r().",Sim,Development Code Fragment,PHP/web,Sim,1,Development Code Fragment,P,ok (24/09/2026),
78,S23,rio_causal_2024,Unused Private Field,Campo privado não utilizado.,Sim,Unused Private Field,Código não utilizado,Sim,25,Unused Private Field,G,ok (24/09/2026),
79,S23,rio_causal_2024,Unused Local Variable,Variável local não utilizada.,Sim,Unused Local Variable,Código não utilizado,Sim,27,Unused Local Variable,G,ok (24/09/2026),
80,S23,rio_causal_2024,Unused Private Method,Método privado não utilizado.,Sim,Unused Private Method,Código não utilizado,Sim,26,Unused Private Method,G,ok (24/09/2026),
81,S23,rio_causal_2024,Unused Formal Parameter,Parâmetro formal não utilizado,Sim,Unused Formal Parameter,Código não utilizado,Sim,28,Unused Formal Parameter,G,ok (24/09/2026),
82,S23,rio_causal_2024,Embedded JS,JavaScript dentro de uma página HTML em uma tag <script>.,Não,Embedded/Inline JavaScript,PHP/web,Sim,5,Embedded/Inline JavaScript,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
83,S23,rio_causal_2024,Inline JS,JavaScript inserido diretamente nos elementos HTML.,Não,Embedded/Inline JavaScript,PHP/web,Sim,5,Embedded/Inline JavaScript,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
84,S23,rio_causal_2024,Embedded CSS,CSS dentro de uma página HTML em uma tag <style>.,Não,Embedded/Inline CSS,PHP/web,Sim,6,Embedded/Inline CSS,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
85,S23,rio_causal_2024,Inline CSS,CSS inserido diretamente nos elementos HTML.,Não,Embedded/Inline CSS,PHP/web,Sim,6,Embedded/Inline CSS,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
86,S23,rio_causal_2024,CSS in JS,Código CSS dentro de JavaScript.,Não,CSS in JavaScript,PHP/web,Sim,7,CSS in JavaScript,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
87,S23,rio_causal_2024,CSS in JS: jQuery,CSS inserido em jQuery,Não,CSS in JavaScript,PHP/web,Sim,7,CSS in JavaScript,W,ok (24/09/2026),"CS do lado do cliente (JS/CSS embutido no HTML gerado pelo PHP): a planilha o marca como não específico de PHP, mas ele entra no catálogo pela decisão de 24/09/2026 de incluir os CS embutidos."
88,S23,rio_causal_2024,Max-lines,Número de linhas por arquivo excedido (acima de 300).,Não,Max-lines (arquivo JavaScript longo),Tamanho,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
89,S23,rio_causal_2024,Max-lines-per-function,Número de linhas em uma função excedido (acima de 20).,Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
90,S23,rio_causal_2024,Max-params,Número de parâmetros em uma função excedido (mais de 3).,Não,Excessive Parameter List,Tamanho,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
91,S23,rio_causal_2024,Complexity,Complexidade ciclomática excedida (mais de 10).,Não,Cyclomatic Complexity,Complexidade,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
92,S23,rio_causal_2024,Max-depth,Profundidade de aninhamento excedida (mais de 4 níveis).,Não,Aninhamento excessivo,Complexidade,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
93,S23,rio_causal_2024,Max-nested-callbacks,Excesso de callbacks aninhados (acima de 3),Não,Callbacks aninhados em excesso,Complexidade,Não,,,,fora do catálogo: regra de JavaScript puro (ESLint),
94,S21,saranya_2023,Long Method,"Um método longo e complexo que dificulta a compreensão, modificação e teste do código. Pode aumentar o risco de introduzir erros, pois é difícil identificar a fonte dos problemas.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
95,S21,saranya_2023,Large Class,"Uma classe com muitas responsabilidades e métodos, o que dificulta o entendimento, a modificação e o teste do código. Classes grandes aumentam a chance de erros e tornam mais difícil identificar o problema.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
96,S21,saranya_2023,Data Clumps,"Um agrupamento de variáveis frequentemente usadas juntas. Isso dificulta a manutenção e o entendimento do código, além de aumentar a complexidade e o risco de erros.",Não,Data Clumps,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
97,S21,saranya_2023,God Object,"Um objeto que tem muitas responsabilidades e métodos, violando o princípio de encapsulamento, ao expor muito do estado e comportamento internos. Dificulta a manutenção e a testabilidade.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
98,S21,saranya_2023,Divergent Change,"Ocorre quando uma classe sofre várias mudanças para diferentes motivos, violando o princípio de responsabilidade única, o que dificulta a manutenção.",Não,Divergent Change,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
99,S21,saranya_2023,Message Chains,"Cadeia de chamadas de métodos em diferentes objetos, o que expõe demais a estrutura interna do código e dificulta sua compreensão e manutenção. Aumenta o risco de erros.",Não,Message Chains,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
100,S21,saranya_2023,Shotgun Surgery,"Ocorre quando uma mudança em um ponto do código requer várias mudanças em diferentes classes ou métodos, o que dificulta a modificação e a testabilidade.",Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
101,S21,saranya_2023,Duplicated Code,"Blocos de código idênticos ou semelhantes em diferentes partes do código-base. Torna mais difícil modificar e testar o código, pois uma alteração em um lugar pode não ser refletida em outras partes duplicadas.",Não,Duplicate Code,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
102,S21,saranya_2023,Lazy Class,"Uma classe com pouco ou nenhum propósito, que aumenta a complexidade do código sem adicionar funcionalidade real, dificultando a manutenção.",Não,Lazy Class,Código não utilizado,Não,,,,fora do catálogo: estudo não é de PHP,
103,S21,saranya_2023,Feature Envy,"Um método que utiliza mais funcionalidades de outra classe do que da própria classe, violando o princípio de encapsulamento e aumentando a dependência entre classes.",Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
104,S21,saranya_2023,Inappropriate Intimacy,"Ocorre quando duas classes têm uma relação muito próxima, usando excessivamente métodos e dados uma da outra, o que compromete o encapsulamento e dificulta a manutenção.",Não,Inappropriate Intimacy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
105,S21,saranya_2023,Blob (Large Class),"Um code smell que ocorre quando uma classe ou método é muito grande e complexo, tornando o código difícil de entender, manter e testar.",Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
106,S21,saranya_2023,Spaghetti Code,"Código desorganizado, sem estrutura clara, que torna o código difícil de seguir e manter. Frequentemente resultado de falta de abstração e planejamento.",Não,Spaghetti Code,Complexidade,Não,,,,fora do catálogo: estudo não é de PHP,
107,S21,saranya_2023,Functional Decomposition,"Uma abordagem onde o código é organizado de forma funcional, o que pode resultar em uma estrutura rígida e difícil de modificar.",Não,Functional Decomposition,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
108,S21,saranya_2023,Dead Code,"Código que não é mais utilizado ou executado, dificultando a manutenção e reduzindo a performance. O ""dead code"" geralmente é o resultado de refatoração ou remoção de funcionalidades sem a limpeza do código.",Não,Dead Code / código desnecessário,Código não utilizado,Não,,,,fora do catálogo: estudo não é de PHP,
109,S21,saranya_2023,Temporary Fields,"Campos que são usados apenas temporariamente dentro de uma classe e depois descartados. Isso aumenta a complexidade e o risco de erros, além de dificultar a manutenção.",Não,Temporary Field,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
