n,nome,categoria,especificidade,descricao,estudos_id,estudos_chave
28,Unused Formal Parameter,Código não utilizado,G,Parâmetro de método nunca utilizado no corpo do método.,S20; S23,rio_abreu_2023; rio_causal_2024
29,Empty Catch Block,Exceções,G,"Bloco catch vazio, que ignora a exceção capturada.",S13; S15,bessghaier_diffusion_2020; bessghaier_longitudinal_2021
30,Missing Function Comments,Documentação,P,Funções sem comentários de documentação.,S09,soltanifar_2016
31,Missing @Return Tag in Comments,Documentação,P,Comentários de função sem a descrição do retorno (@return).,S09,soltanifar_2016
32,Poorly Grouped Parameter Tags,Documentação,P,Tags de parâmetro mal agrupadas nos comentários de documentação.,S09,soltanifar_2016
33,Comment Style (/**),Documentação,P,Comentários que não seguem o estilo de documentação exigido (/**).,S09,soltanifar_2016
34,Missing Parameter Name,Documentação,P,Tag @param sem o nome do parâmetro nos comentários de documentação.,S09,soltanifar_2016
35,Brace Placement Rules,Estilo,P,"Chaves posicionadas fora do padrão de codificação, como a chave de abertura que deveria estar em uma nova linha.",S09,soltanifar_2016
36,Incorrect Spacing After Commas,Estilo,P,Ausência de espaço após vírgulas.,S09,soltanifar_2016
37,Functions Parentheses on Multiple Lines,Estilo,P,Uso inadequado de parênteses em chamadas de função com várias linhas.,S09,soltanifar_2016
38,Blank Line Before Tags,Estilo,P,Quantidade incorreta de linhas em branco antes das tags nos comentários de documentação.,S09,soltanifar_2016
