#,Nome da ferramenta,Para PHP,Descrição,Artigo citado,Texto relevante
11,JCodeOdor,Não,"Uma ferramenta citada para a detecção automática de maus cheiros no código, baseada em métricas de design de software. Ela é usada para detectar cheiros como Shotgun Surgery em linguagens de programação como Java",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
12,PHPMD (PHP Mess Detector):,Sim,"Ferramenta de código aberto usada para detectar code smells no lado do servidor de aplicações PHP. Ela coleta dados como localização, datas e outros indicadores de CS, e os armazena em formato XML",Causal inference of server- and client-side code smells in web apps evolution,
13,ESLint,Não,Ferramenta usada para detectar code smells no JavaScript client-side. É configurável e permite identificar padrões problemáticos no código JavaScript​,Causal inference of server- and client-side code smells in web apps evolution,
14,eextractor,Não,"Ferramenta desenvolvida pelos autores para extrair code smells embutidos no lado do cliente, como CSS e JavaScript dentro de arquivos HTML​",Causal inference of server- and client-side code smells in web apps evolution,
15,PMD e CheckStyle,Não,"O artigo faz referência a ferramentas estáticas de análise de código, como PMD e CheckStyle, que foram usadas em estudos anteriores para detectar ""large class"" e outros code smells. No entanto, ambas as ferramentas apresentaram saídas inconsistentes em relação à detecção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
16,CodeSmellExplorer,Não,"ferramenta desenvolvida para auxiliar na identificação e correção de code smells. O CodeSmellExplorer é uma ferramenta interativa que utiliza uma mesa tangível para visualizar uma rede de code smells e suas refatorações associadas. Os usuários podem explorar as conexões entre code smells e as refatorações recomendadas para corrigir esses problemas. Além disso, a ferramenta também integra desafios gamificados para estimular o aprendizado, onde os estudantes podem identificar code smells em exemplos de código e realizar refatorações para melhorar a qualidade do código. Esses desafios oferecem feedback em tempo real, permitindo que os usuários aprendam a reconhecer e corrigir code smells durante o processo​",Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,
17,Borland Together e InCode,Não,"São ferramentas comerciais utilizadas para a detecção de code smells. Essas ferramentas baseiam-se em ""estratégias de detecção"", que são interpretações métricas dos code smells, como as propostas por Marinescu (2002), e foram escolhidas no estudo para facilitar a repetibilidade.",Code smells as system-level indicators of maintainability: An empirical study,
18,WebScent,Sim e Não,"Mapeamento de Código Cliente-Servidor: WebScent usa um interpretador PHP instrumentado para mapear trechos de código do cliente (HTML, JS, CSS) aos seus locais de origem no código do servidor. Isso permite identificar onde os ""code smells"" estão embutidos no código do servidor.  Análise do Código Gerado: Depois de gerar o código do lado do cliente, a WebScent detecta ""code smells"" no código HTML, JavaScript e CSS do cliente. Em seguida, localiza esses ""smells"" em seus pontos de origem no servidor, o que facilita a correção.  Detecção de Duplicação de Código: Para identificar duplicações de código JavaScript, a WebScent utiliza uma técnica de detecção de clones, que compara fragmentos de código para verificar similaridades com base em suas estruturas sintáticas.  Validação de Sintaxe de HTML: WebScent também usa a ferramenta HTML Tidy para verificar erros de sintaxe em HTML. Esses erros são mapeados de volta ao código do servidor para facilitar a localização e correção.",Detection of embedded code smells in dynamic web applications,
19,iPlasma,Não,Uma ferramenta gratuita para avaliação de qualidade de programas orientados a objetos. Permite calcular métricas e identificar pontos críticos que podem ser aprimorados por meio da detecção e remoção de code smells. Detecta 11 tipos de smells.,On Experimenting Refactoring Tools to Remove Code Smells,
20,Jdeodorant,Não,"Um plugin para Eclipse que identifica e corrige automaticamente alguns code smells. Detecta quatro tipos de smells: God Class, Long Method, Feature Envy, e Type Checking.",On Experimenting Refactoring Tools to Remove Code Smells,
21,InCode,Não,"erramenta comercial que realiza detecção de code smells em programas Java, C e C++. Pode ser usada como software autônomo ou plugin para Eclipse, detectando 10 tipos de smells. É uma sucessora comercial da ferramenta iPlasma.",On Experimenting Refactoring Tools to Remove Code Smells,
22,Eclipse,Não,"IDE popular que oferece várias funcionalidades de refatoração para melhorar a qualidade do código, como Extract Method e Move Method. Não possui detecção automática de code smells, mas é eficaz na aplicação de refatorações para eliminá-los.",On Experimenting Refactoring Tools to Remove Code Smells,
23,IntelliJ IDEA,Não,"IDE comercial que oferece suporte à análise de software e detecção de code smells, além de uma ampla gama de funcionalidades de refatoração para otimizar o código.",On Experimenting Refactoring Tools to Remove Code Smells,
24,Jdeodorant,Não,"Além da detecção, também permite corrigir code smells automaticamente. Fornece sugestões de refatoração para os tipos de smells que detecta.",On Experimenting Refactoring Tools to Remove Code Smells,
25,RefactorIT,Não,"Plugin para Eclipse e NetBeans que calcula métricas e aplica diferentes tipos de refatoração. Apesar de não detectar automaticamente code smells, ajuda na aplicação de refatorações recomendadas para melhoria de qualidade do código.",On Experimenting Refactoring Tools to Remove Code Smells,
26,PHPMD (PHP Mess Detector),Sim,"O PHPMD é uma ferramenta amplamente usada para análise de qualidade de código em aplicações PHP. Ela ajuda a detectar padrões de má prática, ou code smells, que podem comprometer a manutenibilidade e a qualidade do código.",On the Diffusion and Impact of Code Smells in Web Applications,
27,SonarQube,Sim,"O SonarQube é uma plataforma de código aberto usada para inspeção contínua da qualidade do código, que realiza revisões automáticas com análise estática para detectar bugs, code smells e vulnerabilidades de segurança. Através dessa ferramenta, o artigo coletou dados sobre a qualidade do código para avaliar o impacto da adoção de práticas de entrega contínua na empresa estudada​",On the effects of continuous delivery on code quality: A case study in industry,
28,PHPMD (PHP Mess Detector),Sim,"O PHPMD é uma ferramenta de código aberto que detecta diferentes tipos de ""code smells"" em projetos PHP, ajudando os desenvolvedores a identificar áreas no código que precisam de melhorias em termos de legibilidade, complexidade e manutenção.","PHP code smells in web apps: Evolution, survival and anomalies",
29,PHP Code Sniffer,Sim,Utilizada para identificar problemas de estilo de código e formatação em código PHP. Detecta smells relacionados a práticas de codificação inadequadas.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
30,PMD,Sim,"Uma ferramenta de análise de código-fonte em Java que identifica problemas comuns de programação, como variáveis não utilizadas, blocos de catch vazios, classes excessivamente complexas, código duplicado, entre outros. Ela é usada para detectar 12 tipos diferentes de code smells.",Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
31,JSHint,Não,Uma ferramenta de análise de código para JavaScript que ajuda a detectar erros e potenciais problemas no código. Ela foi usada no artigo para identificar code smells específicos do projeto em JavaScript.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
32,Borland Together,Não,Uma ferramenta comercial utilizada para a detecção de code smells.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
33,InCode,Não,"Outra ferramenta comercial mencionada no artigo, usada para detectar code smells nos sistemas analisados.",To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
34,Jdeodorant,Não,Uma ferramenta acadêmica mencionada como exemplo de ferramenta de detecção automatizada de code smells.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
35,iSPARQL,Não,Também mencionada como uma ferramenta acadêmica para a detecção de code smells.,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,
