#,Nome do Code Smell (CS),CS Específico do PHP,Descrição,Artigo citado,Texto relevante
19,Divergent Change,Não,"Quando uma única classe é alterada frequentemente por motivos diferentes, violando o princípio de responsabilidade única.",Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
20,God Class,Não,"Uma God Class é uma classe que assume muitas responsabilidades, violando o princípio da responsabilidade única. Ela tende a centralizar a lógica do sistema, tornando o código difícil de manter e entender, além de aumentar o acoplamento com outras classes.",Application of Deep Learning models for Code Smell Prediction,
21,Long Method,Não,"Um método que tem um número excessivo de linhas de código, o que pode indicar que ele está realizando muitas tarefas diferentes. Métodos longos são mais difíceis de entender, testar e manter. A solução normalmente envolve quebrá-lo em métodos menores.",Application of Deep Learning models for Code Smell Prediction,
22,Feature Envy,Não,"Ocorre quando um método em uma classe está mais interessado em dados ou métodos de outra classe do que em sua própria classe. Esse smell indica que o método pode estar no lugar errado e deveria ser movido para a classe da qual ele é ""invejoso"".",Application of Deep Learning models for Code Smell Prediction,
23,Type Checking,Não,"Este smell aparece quando o código faz muitas verificações de tipos para alterar seu comportamento de acordo com o tipo de objeto que está sendo tratado. Isso pode indicar que o código não está usando bem o polimorfismo, resultando em código menos flexível e mais difícil de manter.",Application of Deep Learning models for Code Smell Prediction,
24,Empty Catch Block,Não,"Refere-se a um bloco de captura (catch) de exceções que não faz nada quando uma exceção é lançada. Isso pode mascarar problemas no código, pois falhas não são tratadas nem informadas, dificultando a depuração e a confiabilidade do sistema.",Application of Deep Learning models for Code Smell Prediction,
25,Dummy Handler,Não,"É um manipulador de exceções (catch block) que contém um código mínimo ou irrelevante, como um simples comentário ou um log trivial, sem tratar adequadamente a exceção. Isso pode resultar em problemas não resolvidos no sistema.",Application of Deep Learning models for Code Smell Prediction,
26,Unprotected Main,Não,Refere-se a um método main que não possui controle de exceções adequado. Um main desprotegido pode permitir que exceções não tratadas causem o encerramento abrupto do programa.,Application of Deep Learning models for Code Smell Prediction,
27,Nested Try Statement,Não,"Ocorre quando blocos try-catch são aninhados de forma excessiva dentro de outros blocos try-catch. Isso torna o código mais difícil de ler, manter e depurar, além de aumentar a complexidade desnecessariamente.",Application of Deep Learning models for Code Smell Prediction,
28,Careless Cleanup,Não,"Refere-se à ausência ou à má implementação de processos de limpeza, como fechar arquivos ou liberar recursos após seu uso, o que pode causar vazamentos de memória ou outros problemas de desempenho.",Application of Deep Learning models for Code Smell Prediction,
29,Exception Thrown in Finally Block,Não,"Ocorre quando uma exceção é lançada dentro de um bloco finally, que normalmente é usado para garantir que os recursos sejam limpos. Isso pode obscurecer exceções lançadas no bloco try, dificultando a detecção da causa original do problema e possivelmente gerando comportamento inesperado no código.",Application of Deep Learning models for Code Smell Prediction,
30,Over Logging,Não,"Geração excessiva de logs pode impactar negativamente a performance do sistema, aumentar a complexidade para a análise de problemas e dificultar a manutenção.",Application of Deep Learning models for Code Smell Prediction,
31,Large Class (Classe Grande),Não,"Refere-se a classes que possuem muitas responsabilidades, métodos e atributos, tornando-as difíceis de gerenciar e manter. Isso vai contra o princípio de uma classe ter uma única responsabilidade. Uma ""Large Class"" concentra muitas funcionalidades, o que pode tornar o código mais complexo e difícil de entender.",Applying Software Metric Thresholds for Detection of Bad Smells,
32,Long Method (Método Longo),Não,"Refere-se a métodos que se tornam excessivamente longos e complexos à medida que novas funcionalidades são adicionadas. Um ""Long Method"" tende a ser difícil de entender, testar e manter, além de violar o princípio de que cada método deve realizar apenas uma tarefa.",Applying Software Metric Thresholds for Detection of Bad Smells,
33,Data Class (Classe de Dados),Não,"Uma ""Data Class"" contém principalmente atributos e métodos básicos para acessar esses atributos (getters e setters), sem implementar lógica complexa. Essas classes agem como recipientes de dados e não têm comportamentos significativos associados a elas, o que as torna vulneráveis a se tornarem meros agregadores de informações.",Applying Software Metric Thresholds for Detection of Bad Smells,
34,Feature Envy (Inveja de Funcionalidade),Não,"Esse ""bad smell"" ocorre quando uma classe acessa os dados de outra classe com mais frequência do que os seus próprios dados, sugerindo que parte de sua funcionalidade poderia estar na outra classe. A classe ""invejosa"" está mais interessada em atributos e métodos de outra classe, o que indica uma má separação de responsabilidades.",Applying Software Metric Thresholds for Detection of Bad Smells,
35,Refused Bequest (Herança Recusada),Não,"Esse problema surge quando uma subclasse herda métodos ou atributos de uma superclasse, mas não os utiliza de maneira significativa. A subclasse “recusa” a herança ao ignorar ou sobrecarregar métodos e atributos herdados, o que pode ser um sinal de que a relação de herança foi mal projetada.",Applying Software Metric Thresholds for Detection of Bad Smells,
36,Código duplicado (Duplicate code),Não,"Ocorre quando há trechos de código idênticos ou muito similares em diferentes partes do software. Isso dificulta a manutenção, pois qualquer mudança precisa ser replicada em várias áreas, aumentando a chance de erros.",A Proposal of Software Maintainability Model using Code Smell Measurement,
37,Lista de parâmetros longa (Long parameter list),Não,"Quando um método ou função recebe muitos parâmetros, o código pode se tornar confuso e difícil de entender. Além disso, torna a manutenção mais complexa, já que muitas dependências são passadas de uma função para outra.",A Proposal of Software Maintainability Model using Code Smell Measurement,
38,Método longo (Long method),Não,"Um método que realiza muitas tarefas ou tem um grande número de linhas de código. Isso torna o método mais difícil de entender, testar e manter, além de sugerir que ele poderia ser dividido em métodos menores e mais especializados.",A Proposal of Software Maintainability Model using Code Smell Measurement,
39,Classe preguiçosa (Lazy class),Não,Uma classe que faz muito pouco ou que não é mais usada de maneira significativa no código. Essas classes consomem recursos sem oferecer benefícios claros e podem ser removidas ou refatoradas para simplificar o design.,A Proposal of Software Maintainability Model using Code Smell Measurement,
40,Classe grande (Large class),Não,"Quando uma classe tem muitas responsabilidades, incluindo muitos métodos ou atributos. Isso viola o princípio de ""responsabilidade única"" e torna o código difícil de manter e entender, já que a classe está tentando fazer muitas coisas ao mesmo tempo.",A Proposal of Software Maintainability Model using Code Smell Measurement,
41,Excessive Block Diagram Size,Não,Diagrama de blocos com tamanho excessivo.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
42,Wire Clutter,Não,Excesso de fios nos diagramas.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
43,Inconsistent Use of SubVIs,Não,Uso inconsistente de SubVIs.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
44,Deeply Nested Structures,Não,Estruturas aninhadas profundamente.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
45,Magic Numbers,Não,Uso de números literais sem explicação.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
46,Unnecessary Local Variables,Não,Uso de variáveis locais desnecessárias.,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
47,Repetitive Code,Não,Código repetido que poderia ser abstraído,A Survey-Based Empirical Evaluation of Bad Smells in LabVIEW Systems Models,
48,Long Method,Não,"Ocorre quando um método implementa várias funcionalidades em vez de apenas uma responsabilidade, violando o princípio da responsabilidade única. Métodos longos são difíceis de entender e manter. A refatoração associada é o Extract Method, que separa as responsabilidades em métodos menores.",A Textual-based Technique for Smell Detection,
49,Feature Envy,Não,"Refere-se a um método que ""inveja"" outra classe, ou seja, utiliza mais atributos e métodos de outra classe do que da própria classe onde está localizado. A solução é movê-lo para a classe onde ele deveria estar, usando a refatoração Move Method.",A Textual-based Technique for Smell Detection,
50,Blob,Não,"Também conhecido como God Class, é uma classe gigantesca que centraliza o comportamento de uma parte significativa do sistema, contendo muitas responsabilidades. Esse smell reduz a coesão e dificulta a manutenção. A refatoração comum é o Extract Class, que divide a classe em várias outras classes menores.",A Textual-based Technique for Smell Detection,
51,Promiscuous Package,Não,"Surge quando um pacote contém classes que implementam muitas funcionalidades diferentes, tornando-o difícil de entender e manter. A solução típica é Extract Package, que redistribui as classes em pacotes menores e mais coesos.",A Textual-based Technique for Smell Detection,
52,Misplaced Class,Não,"Indica uma classe que está localizada em um pacote que não está relacionado às funcionalidades que ela implementa. A classe deveria ser movida para outro pacote mais adequado, através da refatoração Move Class.",A Textual-based Technique for Smell Detection,
53,Swiss Army Knife,Não,"Refere-se a uma classe ou módulo que contém muitas funcionalidades diferentes, semelhantes a um ""canivete suíço"", dificultando a coesão e a reutilização.",A Textual-based Technique for Smell Detection,
54,Functional Decomposition,Não,"Este smell ocorre quando o código é estruturado de maneira excessivamente procedimental, em vez de orientado a objetos, levando a baixa coesão e reutilização de código.",A Textual-based Technique for Smell Detection,
55,Spaghetti Code,Não,"Código que é difícil de entender e seguir devido à falta de estrutura adequada, geralmente resultante de um código com muitos loops aninhados ou lógica condicional espalhada.",A Textual-based Technique for Smell Detection,
56,State Checking,Não,"Um smell onde um método executa muitas verificações de estado (geralmente em objetos) antes de executar sua lógica principal, o que pode indicar falta de coesão e problemas de design.",A Textual-based Technique for Smell Detection,
57,Divergent Change,Não,"Ocorre quando uma única classe é modificada por diferentes motivos, o que indica que ela pode estar assumindo mais responsabilidades do que deveria. A refatoração apropriada é dividir essa classe em classes menores.",A Textual-based Technique for Smell Detection,
58,Parallel Inheritance,Não,"Quando uma hierarquia de herança reflete mudanças em várias classes ao mesmo tempo, tornando difícil manter a consistência entre elas.",A Textual-based Technique for Smell Detection,
59,Shotgun Surgery,Não,"Um smell que ocorre quando uma única mudança precisa ser aplicada a várias classes ao mesmo tempo, indicando uma má separação de responsabilidades.",A Textual-based Technique for Smell Detection,
60,Shotgun Surgery,Não,"Refere-se a um cheiro de código onde uma única mudança em uma parte do software requer várias pequenas mudanças em diferentes lugares. Isso é problemático, pois aumenta o esforço de manutenção e o risco de erros",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
61,Duplicated Code,Não,"Fragmentos de código duplicados em diferentes partes do sistema. Quando ocorre uma alteração em um desses fragmentos, todas as cópias precisam ser atualizadas, o que pode levar a erros e dificuldades de manutenção",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
62,Magic Numbers,Não,"Números codificados diretamente no código sem uma explicação clara, espalhados por diferentes partes do software. Alterações nesses números podem levar a problemas de manutenção, pois é difícil garantir que todas as instâncias sejam atualizadas corretamente​",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
63,Feature Envy,Não,"Um ""bad smell"" onde um método em uma classe parece mais interessado em dados de outra classe, sugerindo que talvez o comportamento deveria estar nessa outra classe .",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
64,Cyclomatic Complexity,Sim,Excesso de pontos de decisão em um método (acima de 10).,Causal inference of server- and client-side code smells in web apps evolution,
65,NPath Complexity,Sim,Caminhos de execução acíclicos excedentes em um método (acima de 200).,Causal inference of server- and client-side code smells in web apps evolution,
66,Method Length,Sim,Método muito longo (mais de 100 linhas).,Causal inference of server- and client-side code smells in web apps evolution,
67,Class Length,Sim,Classe muito longa (mais de 1000 linhas).,Causal inference of server- and client-side code smells in web apps evolution,
68,Parameter List,Sim,Lista de parâmetros muito extensa em um método (mais de 10 parâmetros).,Causal inference of server- and client-side code smells in web apps evolution,
69,Public Count,Sim,Muitos métodos/atributos públicos (mais de 45).,Causal inference of server- and client-side code smells in web apps evolution,
70,Too Many Fields,Sim,Classe com muitos campos (mais de 15).,Causal inference of server- and client-side code smells in web apps evolution,
71,Too Many Methods,Sim,Classe com muitos métodos (mais de 25).,Causal inference of server- and client-side code smells in web apps evolution,
72,Public Methods,Sim,Classe com muitos métodos públicos (mais de 10).,Causal inference of server- and client-side code smells in web apps evolution,
73,Class Complexity,Sim,Soma excessiva das complexidades dos métodos da classe (acima de 50).,Causal inference of server- and client-side code smells in web apps evolution,
74,Number of Children,Sim,Classe com número excessivo de filhos (acima de 15).,Causal inference of server- and client-side code smells in web apps evolution,
75,Depth of Inheritance,Sim,Classe com muitos níveis de herança (acima de 6).,Causal inference of server- and client-side code smells in web apps evolution,
76,Coupling Between Objects,Sim,Classe com muitas dependências (mais de 13).,Causal inference of server- and client-side code smells in web apps evolution,
77,Development Code Fragment,Sim,"Fragmentos de código de desenvolvimento como var_dump(), print_r().",Causal inference of server- and client-side code smells in web apps evolution,
78,Unused Private Field,Sim,Campo privado não utilizado.,Causal inference of server- and client-side code smells in web apps evolution,
79,Unused Local Variable,Sim,Variável local não utilizada.,Causal inference of server- and client-side code smells in web apps evolution,
80,Unused Private Method,Sim,Método privado não utilizado.,Causal inference of server- and client-side code smells in web apps evolution,
81,Unused Formal Parameter,Sim,Parâmetro formal não utilizado,Causal inference of server- and client-side code smells in web apps evolution,
82,Embedded JS,Não,JavaScript dentro de uma página HTML em uma tag <script>.,Causal inference of server- and client-side code smells in web apps evolution,
83,Inline JS,Não,JavaScript inserido diretamente nos elementos HTML.,Causal inference of server- and client-side code smells in web apps evolution,
84,Embedded CSS,Não,CSS dentro de uma página HTML em uma tag <style>.,Causal inference of server- and client-side code smells in web apps evolution,
85,Inline CSS,Não,CSS inserido diretamente nos elementos HTML.,Causal inference of server- and client-side code smells in web apps evolution,
86,CSS in JS,Não,Código CSS dentro de JavaScript.,Causal inference of server- and client-side code smells in web apps evolution,
87,SS in JS: jQuery,Não,CSS inserido em jQuery,Causal inference of server- and client-side code smells in web apps evolution,
88,Max-lines,Não,Número de linhas por arquivo excedido (acima de 300).,Causal inference of server- and client-side code smells in web apps evolution,
89,Max-lines-per-function:,Não,Número de linhas em uma função excedido (acima de 20).,Causal inference of server- and client-side code smells in web apps evolution,
90,Max-params,Não,Número de parâmetros em uma função excedido (mais de 3).,Causal inference of server- and client-side code smells in web apps evolution,
91,Complexity,Não,Complexidade ciclomática excedida (mais de 10).,Causal inference of server- and client-side code smells in web apps evolution,
92,Max-depth,Não,Profundidade de aninhamento excedida (mais de 4 níveis).,Causal inference of server- and client-side code smells in web apps evolution,
93,Max-nested-callbacks,Não,Excesso de callbacks aninhados (acima de 3)​,Causal inference of server- and client-side code smells in web apps evolution,
94,Long Method,Não,"Um método longo e complexo que dificulta a compreensão, modificação e teste do código. Pode aumentar o risco de introduzir erros, pois é difícil identificar a fonte dos problemas.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
95,Large Class,Não,"Uma classe com muitas responsabilidades e métodos, o que dificulta o entendimento, a modificação e o teste do código. Classes grandes aumentam a chance de erros e tornam mais difícil identificar o problema.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
96,Data Clumps,Não,"Um agrupamento de variáveis frequentemente usadas juntas. Isso dificulta a manutenção e o entendimento do código, além de aumentar a complexidade e o risco de erros.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
97,God Object,Não,"Um objeto que tem muitas responsabilidades e métodos, violando o princípio de encapsulamento, ao expor muito do estado e comportamento internos. Dificulta a manutenção e a testabilidade.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
98,Divergent Change,Não,"Ocorre quando uma classe sofre várias mudanças para diferentes motivos, violando o princípio de responsabilidade única, o que dificulta a manutenção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
99,Message Chains,Não,"Cadeia de chamadas de métodos em diferentes objetos, o que expõe demais a estrutura interna do código e dificulta sua compreensão e manutenção. Aumenta o risco de erros.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
100,Shotgun Surgery,Não,"Ocorre quando uma mudança em um ponto do código requer várias mudanças em diferentes classes ou métodos, o que dificulta a modificação e a testabilidade.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
101,Duplicated Code,Não,"Blocos de código idênticos ou semelhantes em diferentes partes do código-base. Torna mais difícil modificar e testar o código, pois uma alteração em um lugar pode não ser refletida em outras partes duplicadas.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
102,Lazy Class,Não,"Uma classe com pouco ou nenhum propósito, que aumenta a complexidade do código sem adicionar funcionalidade real, dificultando a manutenção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
103,Feature Envy,Não,"Um método que utiliza mais funcionalidades de outra classe do que da própria classe, violando o princípio de encapsulamento e aumentando a dependência entre classes.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
104,Inappropriate Intimacy,Não,"Ocorre quando duas classes têm uma relação muito próxima, usando excessivamente métodos e dados uma da outra, o que compromete o encapsulamento e dificulta a manutenção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
105,Blob (Large Class),Não,"Um code smell que ocorre quando uma classe ou método é muito grande e complexo, tornando o código difícil de entender, manter e testar.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
106,Spaghetti Code,Não,"Código desorganizado, sem estrutura clara, que torna o código difícil de seguir e manter. Frequentemente resultado de falta de abstração e planejamento.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
107,Functional Decomposition,Não,"Uma abordagem onde o código é organizado de forma funcional, o que pode resultar em uma estrutura rígida e difícil de modificar.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
108,Dead Code,Não,"Código que não é mais utilizado ou executado, dificultando a manutenção e reduzindo a performance. O ""dead code"" geralmente é o resultado de refatoração ou remoção de funcionalidades sem a limpeza do código.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
109,Temporary Fields,Não,"Campos que são usados apenas temporariamente dentro de uma classe e depois descartados. Isso aumenta a complexidade e o risco de erros, além de dificultar a manutenção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
110,Long Parameter List,Não,"Quando um método ou função tem muitos parâmetros, tornando o código mais difícil de entender, modificar e testar.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
111,Parallel Decomposition,Não,"Quando a herança e os métodos são organizados de forma a criar dependências desnecessárias, resultando em um código mais difícil de manter.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
112,Duplicated Code (Código Duplicado),Não,"Um code smell que ocorre quando blocos de código são repetidos em diferentes partes do programa, tornando o código mais difícil de manter. No estudo, foi mencionado que a maioria dos estudantes não conseguiu reconhecer esse smell.",Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,
113,Comments (Comentários),Não,"Este code smell ocorre quando há comentários excessivos ou desnecessários no código, o que pode indicar que o código não é claro o suficiente por si só. Apenas alguns estudantes conseguiram identificar este smell no experimento mencionado no artigo.",Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,
114,Data Clumps (Agrupamentos de Dados),Não,"Refere-se a grupos de variáveis que frequentemente aparecem juntas. Se variáveis costumam ser passadas juntas em várias funções ou classes, isso pode ser um sinal de que elas deveriam estar encapsuladas em uma classe ou estrutura.",Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,
115,Primitive Obsession (Obsessão por Tipos Primitivos),Não,"Esse code smell surge quando tipos primitivos são usados excessivamente, em vez de objetos de alto nível. Isso pode resultar em código menos expressivo e mais difícil de manter.",Code Smell Explorer: Tangible Exploration of Code Smells and Refactorings,
116,Data Class,Não,"Classes que contêm apenas campos e métodos getters e setters, sem implementar funcionalidades específicas.",Code smells as system-level indicators of maintainability: An empirical study,
117,Data Clumps,Não,"Conjuntos de dados que são frequentemente encontrados juntos, seja dentro de classes ou entre classes.",Code smells as system-level indicators of maintainability: An empirical study,
118,Duplicated Code in Conditional Branches,Não,Código com estrutura idêntica ou semelhante repetida nos ramos de uma instrução condicional.,Code smells as system-level indicators of maintainability: An empirical study,
119,Feature Envy,Não,"Um método que parece mais interessado em outra classe do que na própria classe em que está, sugerindo que ele talvez devesse ser movido para a classe que possui os dados que ele utiliza.",Code smells as system-level indicators of maintainability: An empirical study,
120,God (Large) Class,Não,"Uma classe que assume muitas responsabilidades em relação às outras classes, centralizando a funcionalidade em uma única classe, o que vai contra os princípios de decomposição de design.",Code smells as system-level indicators of maintainability: An empirical study,
121,God (Long) Method,Não,"Método muito longo que centraliza a funcionalidade de uma classe em um único método, dificultando a legibilidade e manutenção.",Code smells as system-level indicators of maintainability: An empirical study,
122,Misplaced Class,Não,"Em ""pacotes principais"" (God Packages), uma classe que depende mais de classes de outros pacotes do que do seu próprio pacote.",Code smells as system-level indicators of maintainability: An empirical study,
123,Refused Bequest,Não,Subclasses que não querem ou não precisam de tudo que herdam da classe pai.,Code smells as system-level indicators of maintainability: An empirical study,
124,Shotgun Surgery,Não,Uma alteração em uma classe que resulta na necessidade de fazer várias pequenas alterações em várias outras classes.,Code smells as system-level indicators of maintainability: An empirical study,
125,Temporary Variable Used for Several Purposes,Não,"Variáveis temporárias usadas para diferentes propósitos, o que pode causar confusão e introduzir falhas.",Code smells as system-level indicators of maintainability: An empirical study,
126,Use Interface Instead of Implementation,Não,"Evitar o uso de implementações concretas, preferindo o uso de interfaces para reduzir o acoplamento.",Code smells as system-level indicators of maintainability: An empirical study,
127,Interface Segregation Principle Violation,Não,"Uma classe que depende de outra deveria depender da menor interface possível, evitando forçar dependências desnecessárias em métodos que não utiliza, o que aumenta o acoplamento",Code smells as system-level indicators of maintainability: An empirical study,
128,Passing Excessive Objects,Não,"Descrição: Passar objetos inteiros entre linguagens em vez de apenas os parâmetros necessários pode reduzir a performance. Em sistemas multilinguagens, o custo de transferir objetos inteiros pode ser alto, especialmente se envolver várias chamadas para acessar cada campo de um objeto. Refatoração: Passar apenas os parâmetros necessários em vez do objeto completo.",Code Smells for Multi-language Systems,
129,Unnecessary Parameters,Não,"Descrição: Inclui parâmetros desnecessários nas chamadas entre linguagens. Isso adiciona complexidade e dificulta a manutenção do código, especialmente quando os parâmetros não são utilizados no outro idioma. Refatoração: Remover os parâmetros que não são utilizados para simplificar a interface e melhorar a legibilidade.",Code Smells for Multi-language Systems,
130,Unused Native Methods Declaration,Não,Descrição: Declaração de métodos nativos que não possuem implementação na outra linguagem. Isso pode ocorrer quando funcionalidades mudam ou são removidas. Refatoração: Manter apenas os métodos que são realmente usados nas interações entre as linguagens.,Code Smells for Multi-language Systems,
131,Unused Native Method Implementation,Não,"Descrição: Implementação de métodos nativos que nunca são chamados a partir do código da linguagem hospedeira. Pode ocorrer em projetos grandes com múltiplas equipes, onde falta uma visão geral do sistema. Refatoração: Remover métodos que não são usados para reduzir a complexidade e melhorar a clareza.",Code Smells for Multi-language Systems,
132,Not Handling Exceptions Across Languages,Não,"Descrição: Falta de tratamento de exceções nas chamadas entre linguagens, o que pode causar falhas silenciosas ou difíceis de depurar. Refatoração: Verificar e tratar as exceções explicitamente após chamadas a métodos de outras linguagens para garantir a robustez do código.",Code Smells for Multi-language Systems,
133,Assuming Safe Multi-language Return Values,Não,"Descrição: Presumir que os valores de retorno de métodos em outras linguagens são sempre seguros e válidos. Isso pode causar erros se o valor retornado for nulo ou incorreto. Refatoração: Validar os valores de retorno antes de usá-los, especialmente em chamadas entre diferentes linguagens.",Code Smells for Multi-language Systems,
134,Not Caching Objects' Elements,Não,"Descrição: Repetidamente buscar elementos de objetos (como IDs de métodos ou campos) em chamadas entre linguagens, o que pode impactar a performance devido ao custo dessas chamadas. Refatoração: Cachear os elementos que são frequentemente acessados para reduzir o tempo de execução.",Code Smells for Multi-language Systems,
135,Not Securing Libraries,Não,"Descrição: Carregar bibliotecas nativas sem verificações de segurança adequadas, permitindo que código mal-intencionado acesse bibliotecas de forma não autorizada. Refatoração: Carregar bibliotecas em blocos de código seguros, usando permissões ou verificações de segurança.",Code Smells for Multi-language Systems,
136,Hard Coding Libraries,Não,"Descrição: Carregar bibliotecas de forma fixa para sistemas operacionais específicos, tornando o código menos portátil e mais difícil de manter. Refatoração: Usar uma abordagem que diferencie bibliotecas para diferentes sistemas operacionais de forma clara e adaptável.",Code Smells for Multi-language Systems,
137,Not Using Relative Path to Load the Library,Não,"Descrição: Carregar bibliotecas sem especificar um caminho relativo, o que reduz a portabilidade e dificulta a reutilização do código. Refatoração: Utilizar caminhos relativos para garantir que as bibliotecas possam ser carregadas corretamente, independentemente da localização do sistema.",Code Smells for Multi-language Systems,
138,Memory Management Mismatch,Não,"Descrição: Falta de consideração ao gerenciar referências de memória entre linguagens com diferentes paradigmas de gerenciamento de memória, o que pode resultar em vazamentos de memória. Refatoração: Gerenciar explicitamente a alocação e liberação de memória em linguagens onde isso não é feito automaticamente.",Code Smells for Multi-language Systems,
139,Local References Abuse,Não,"Descrição: Uso inadequado de referências locais, que podem não ser automaticamente liberadas, levando a vazamentos de memória. Refatoração: Liberar referências locais manualmente após o uso, especialmente ao usar JNI, para evitar o acúmulo desnecessário de objetos.",Code Smells for Multi-language Systems,
140,JavaScript em HTML,Não,"ocorre quando trechos de código JavaScript estão embutidos no HTML, misturando a lógica de controle (JS) com o conteúdo de apresentação (HTML). Esse tipo de código pode aparecer em:  JavaScript embutido: código JS diretamente dentro de uma tag <script>. JavaScript em links HTML: JS embutido em atributos href de links, como <a href='javascript:history.back()'>. JavaScript em eventos HTML: JS embutido em atributos de eventos, como onclick.",Detection of embedded code smells in dynamic web applications,
